Birth_year,Season,seasonal_coverage,mono_coverage,seasonal_vaccine,monovalent_vaccine,infection
1918,2009.5,0.5916841023421959,0.09427252837756615,0.4375041872458508,0.02444802356130575,0.3411393009511696
1919,2009.5,0.5922926171622018,0.10138255055294614,0.43782452543932904,0.02625454745298926,0.34056430765793644
1920,2009.5,0.5953302026479003,0.10810729532311647,0.4395978496834027,0.02788150370465666,0.33915844009238516
1921,2009.5,0.5722941005994084,0.11444852702532056,0.42570312424867496,0.030260992812803533,0.3468914160197435
1922,2009.5,0.5909574048166304,0.12040858983057029,0.43690745641745343,0.031164639861925324,0.34003469456164953
1923,2009.5,0.6628177384743527,0.12599041825236434,0.478910040660327,0.030043159195337777,0.3152048086052055
1924,2009.5,0.5898725646779535,0.13119754420264107,0.4361899155699563,0.033958264518071206,0.3398309997345392
1925,2009.5,0.547474133546084,0.13603410043369757,0.4103951520937764,0.0368758237121518,0.3544785702101957
1926,2009.5,0.6060186680251778,0.1405048202573882,0.4457541067740043,0.03568107552493853,0.3337369859013653
1927,2009.5,0.5850057448602122,0.14461503348936636,0.4331839969474684,0.037578837551574734,0.3407826665416107
1928,2009.5,0.6223617105513484,0.1483706586249542,0.4553434871216925,0.036960266955611575,0.3277124114384444
1929,2009.5,0.605824163319565,0.15177819131279152,0.4455677677728991,0.03850459857549626,0.3331843576177784
1930,2009.5,0.5980244514663573,0.15484468925108907,0.4409112482625556,0.03961335482374491,0.3356978285334696
1931,2009.5,0.5738200472789946,0.15757775368741594,0.4263514069648218,0.041398339889761396,0.3439425097030395
1932,2009.5,0.5442299984296373,0.15998550775493897,0.4082365446284938,0.04340702270975512,0.3542209024799977
1933,2009.5,0.5807268744459138,0.16207657192451558,0.4304957459897433,0.04223510870060381,0.3412739419737342
1934,2009.5,0.5388101083828615,0.16386003689182416,0.40485657525958463,0.04470234763008097,0.35591257882336774
1935,2009.5,0.5545885942047495,0.16534543425087483,0.4145781559191351,0.044329653241283226,0.3502329745465387
1936,2009.5,0.517903601220127,0.16654270532918747,0.39178362964627156,0.04646172371862751,0.36323015247029405
1937,2009.5,0.5563599158413026,0.16746216857530036,0.4156502560586863,0.044799546032778664,0.3494813927629777
1938,2009.5,0.48347300361742684,0.16811448589609768,0.36986275619377273,0.048655737211297304,0.375648216906158
1939,2009.5,0.5000909816850253,0.1685106283400018,0.38049969369241365,0.04790970770689598,0.3695502812767867
1940,2009.5,0.5020822880624588,0.16866184151290065,0.3817654864204394,0.04784958484234199,0.368816935026795
1941,2009.5,0.5180511264799401,0.1685796110975331,0.39186278971663946,0.04701177804137457,0.3630491200034821
1942,2009.5,0.47873409615396667,0.16827562882488054,0.3668052634261004,0.04894779383958174,0.37738018482384134
1943,2009.5,0.4611771296307916,0.16776175921893416,0.3553976841941155,0.04971803550725677,0.3839125404457616
1944,2009.5,0.4500112061250871,0.1670500074051586,0.3480728360865158,0.05009764396166948,0.38812870124959276
1945,2009.5,0.3880527560218622,0.16615248823917556,0.3063576056179062,0.053155382678387535,0.4118326284658904
1946,2009.5,0.4093383371191831,0.16508139697672644,0.32090135258103647,0.05166904149352401,0.40368684447131886
1947,2009.5,0.3788069922185049,0.16384898166991074,0.2999906588427232,0.05293373387934547,0.41560268187307725
1948,2009.5,0.3804686414970648,0.16246751743891208,0.3011496229618258,0.05240625260688862,0.41505272110921076
1949,2009.5,0.3771653078039987,0.16094928273380546,0.2988718982901989,0.05210225657231823,0.4164539573089741
1950,2009.5,0.37234138954431906,0.15930653766818775,0.29553239598166103,0.051836346700704555,0.41846421239237075
1951,2009.5,0.3517984798543113,0.15755150447591343,0.2811495753407872,0.05236404203208714,0.4267127092289948
1952,2009.5,0.37782944435902477,0.1556963501144945,0.2993661418002682,0.05039813238945988,0.4165697872205168
1953,2009.5,0.3443161625556276,0.15375317101407082,0.275878962628176,0.05151524950878607,0.42997567901419387
1954,2009.5,0.32703791159350365,0.15173397994938373,0.26355852879378244,0.05174962978424243,0.43707092002838266
1955,2009.5,0.3445857167876036,0.1496506949940128,0.2760958182615053,0.05015111770898863,0.4301679673735539
1956,2009.5,0.3183502462623964,0.1475151305011537,0.25732626670477793,0.05077956553861125,0.4409068044244944
1957,2009.5,0.32337910200385783,0.14533899004341275,0.26096664418141496,0.049789903579763775,0.43902637597850347
1958,2009.5,0.30022356271877526,0.14313386123520563,0.24417135546118235,0.05020441776650919,0.448647604206681
1959,2009.5,0.26976954218548976,0.14091121235527732,0.22165782064718983,0.05096514129737198,0.4614596243524674
1960,2009.5,0.28075584428019634,0.13868239068329094,0.22985244358106932,0.049626390702205675,0.4570416058161436
1961,2009.5,0.2687285109648361,0.13645862246318136,0.2209040352046255,0.049432415690183126,0.46223900559093783
1962,2009.5,0.28048084297288506,0.13425101440675877,0.2296735714387388,0.04807943729116719,0.45749230425859727
1963,2009.5,0.2854605145624759,0.13207055665364503,0.23337495951386666,0.047076195992286435,0.45558333887874536
1964,2009.5,0.25360477380363367,0.12992812710781426,0.2095635344410643,0.04781623158818926,0.46911864890612637
1965,2009.5,0.24487909469151148,0.12783449707654965,0.2029557398881643,0.047465606252280135,0.47298869159297247
1966,2009.5,0.26299161638159096,0.12580033814438304,0.21666150098083087,0.045891033588704555,0.4654647242009672
1967,2009.5,0.24957992573690668,0.12383623022233613,0.20654792302926528,0.0457900826492091,0.47129460881617763
1968,2009.5,0.22955037526529443,0.12195267072144406,0.19125940460578855,0.04600418849439146,0.4800103335890388
1969,2009.5,0.22549557607977766,0.12016008480899558,0.18814517261598246,0.0455190610385778,0.4818974792776538
1970,2009.5,0.22563855454394074,0.11846883671608127,0.18826391105200962,0.04488138261864649,0.4819668848094333
1971,2009.5,0.25137634112521406,0.11688924207589332,0.2079464989108994,0.0431808864060501,0.4710573310987104
1972,2009.5,0.2292078952428503,0.11543158128373604,0.19102884896221325,0.043593684836834914,0.48066103019994216
1973,2009.5,0.24227291313762886,0.11410611388190922,0.2010425115994112,0.04254838788679182,0.4751508693800404
1974,2009.5,0.22688151503220783,0.1129230939855912,0.18924996334145028,0.042757161862442286,0.4818569312142514
1975,2009.5,0.23392227449905453,0.11189278677965142,0.1946682578340186,0.04207962971493637,0.47890084773597874
1976,2009.5,0.22974504386223787,0.1110254861311116,0.19146425847108928,0.04193006500749302,0.4807658487282171
1977,2009.5,0.25503438748886276,0.11033153337789947,0.21074918610594084,0.04064298587465433,0.4699917722354246
1978,2009.5,0.24987028710676434,0.10982133737186364,0.20684229959938127,0.04066513341415343,0.47222744888109747
1979,2009.5,0.22448409224450622,0.10950539587295792,0.18741765416625986,0.041578309733518934,0.4831542057958504
1980,2009.5,0.21855170625630416,0.10939431841245292,0.1828285978333486,0.041779460556833,0.4857342406936776
1981,2009.5,0.21154966231164157,0.1094988507663598,0.17738641415248146,0.04210693936314162,0.4887729834649832
1982,2009.5,0.2211063943866624,0.10982990120646305,0.18480523257512999,0.041838505855276806,0.48459243701845134
1983,2009.5,0.18322971456373577,0.11039856872606908,0.15510040664176683,0.043637207952515626,0.5011524909156213
1984,2009.5,0.18143412413823565,0.1112161734714952,0.15366925918439414,0.044032613784822434,0.5018836844901247
1985,2009.5,0.17585047362616366,0.11229428964934915,0.1492140116856719,0.044694910466040405,0.5042783441845596
1986,2009.5,0.15499679241653835,0.11364478122485516,0.13243363569293443,0.046145356284805955,0.5135035719868706
1987,2009.5,0.1367385111800932,0.11527984077922623,0.11754099734814454,0.04762776893506034,0.521631618412819
1988,2009.5,0.11302049315653476,0.11721203195594751,0.09791593786224549,0.04952295240048863,0.5323286339129952
1989,2009.5,0.09763555866182912,0.119454335998912,0.08501288180613939,0.051197853421846684,0.5392550478062687
1990,2009.5,0.10377299901873092,0.1220202029721254,0.09016643334314423,0.051976821704106654,0.536183535599329
1991,2009.5,0.11532433749745571,0.12492360835432013,0.0998116320467605,0.0526128893093418,0.5306011758444328
1992,2009.5,0.13687486008512342,0.12817911582632197,0.11760706140851779,0.05286262565416458,0.5204761617807332
1993,2009.5,0.1544365336738921,0.13180194721937427,0.1319090420317945,0.05342346855058019,0.5122392631350715
1994,2009.5,0.14695953226811476,0.13580806077531865,0.1258204689756772,0.05541590838001504,0.5152596679611595
1995,2009.5,0.15667346315627845,0.14021423909279002,0.13368679098312974,0.05665041618723119,0.510516983894238
1996,2009.5,0.17282590221897215,0.1450381884080716,0.14665775079952095,0.05765850931595083,0.5029079470251236
1997,2009.5,0.18068620110751268,0.15029865119887692,0.15290380603227657,0.05925790425485487,0.4989838563957801
1998,2009.5,0.2264223367654445,0.1560155345222807,0.18867857267386182,0.058788223049591554,0.47862190014407985
1999,2009.5,0.20801555558524132,0.16221005702846275,0.17437719898776474,0.06218542553424395,0.48602989416800735
2000,2009.5,0.22992014157129376,0.16890491826200504,0.1913035277121891,0.06332676631656399,0.47604859343867906
2001,2009.5,0.21951265774081716,0.17612449471560127,0.18324178591111712,0.06665135629595387,0.4798843607132576
2002,2009.5,0.2524467671716265,0.18389506819615692,0.20839470353540446,0.06731218071793778,0.4652462722227408
2003,2009.5,0.26943775542155374,0.19224509348149932,0.22112020970713078,0.0691259104764384,0.45744788680506976
2004,2009.5,0.2851926870640549,0.2012055141000747,0.23277566606670883,0.07114767891133272,0.4501899827896009
2005,2009.5,0.34481844180599985,0.21081013751474545,0.27587373533753967,0.07012776764985884,0.4253788954651364
2006,2009.5,0.3420370795320412,0.22109608426142335,0.2738344191844105,0.07367012974098548,0.425640164268676
2007,2009.5,0.37855228079305014,0.23210433001093927,0.29936565666279763,0.07441967370676306,0.4104869907154045
2008,2009.5,0.48511088888095016,0.24388036556851397,0.37076485534069104,0.0698890241405768,0.36941613407770424
2009,2009.5,0.1804370207878608,0.09984843810139087,0.1593095011127454,0.058410210352743325,0.2998763098068524
1918,2010.0,0.10333664465780407,0.0884144923338341,0.04391146699050732,0.03768530528836873,0.04788823607213501
1919,2010.0,0.1033305619250898,0.09432289386765653,0.04342529398712563,0.03980563676742607,0.047344425999572774
1920,2010.0,0.1032958127709145,0.09981320843369292,0.042842433138864724,0.04161329002851529,0.04670805443452647
1921,2010.0,0.10337883991789576,0.10490322696135752,0.04358048078924621,0.04451715436856749,0.04747946381632596
1922,2010.0,0.10334352547921256,0.10961016054629402,0.04230682303157767,0.045196641703462784,0.04608104187524168
1923,2010.0,0.1005592920292338,0.11395062994166213,0.03771227953241837,0.04302691114011234,0.0421663198128972
1924,2010.0,0.10335302217787316,0.11794065850218041,0.041705218332850694,0.04801737698674649,0.045402020129877846
1925,2010.0,0.10301382979796286,0.12159566874220815,0.04326145884070527,0.051605961241971934,0.047281060588486565
1926,2010.0,0.10311498248356582,0.12493048261654857,0.04032803870402509,0.04935245343356819,0.043976171907141905
1927,2010.0,0.1033842417233891,0.12795932557620496,0.04114039440704598,0.05148686645663641,0.04475387446050663
1928,2010.0,0.10265911674995659,0.13069583439251273,0.038987932720706615,0.05018053971389562,0.0426801636019045
1929,2010.0,0.10311909406128655,0.13315306868348978,0.039691441744452174,0.0518577208965182,0.04326162097506525
1930,2010.0,0.10325885501578472,0.1353435260175811,0.03991411241059986,0.05296775526152481,0.04344612147450473
1931,2010.0,0.10338607288298014,0.13727916041387514,0.040887016467813356,0.05501780222060443,0.04446587135036684
