"Season","H1","H2","H3","Birth_year"
2008,0.999996867196747,3.05062510821429e-06,8.2177070169834e-08,1918
2009,0.999996867196747,3.05062510821429e-06,8.21774189063003e-08,1918
2009.5,0.999996867196959,3.05062510821429e-06,8.21774189063003e-08,1918
2010,0.999996867197373,3.05062510821429e-06,8.21774189063003e-08,1918
2011,0.999996867197385,3.05062510821429e-06,8.21774189063003e-08,1918
2012,0.9999968671974,3.05062510821429e-06,8.21774377956408e-08,1918
2013,0.9999968671974,3.05062510821429e-06,8.21774500765185e-08,1918
2014,0.9999968671974,3.05062510821429e-06,8.21774671512702e-08,1918
2015,0.999996867197408,3.05062510821429e-06,8.21774678662223e-08,1918
2016,0.999996867197408,3.05062510821429e-06,8.21774741489251e-08,1918
2017,0.99999686719741,3.05062510821429e-06,8.21774741489251e-08,1918
2018,0.99999686719741,3.05062510821429e-06,8.21774763698897e-08,1918
2008,0.999995593704183,4.29071204558465e-06,1.15582260140433e-07,1919
2009,0.999995593704183,4.29071204558465e-06,1.15582750639168e-07,1919
2009.5,0.999995593704481,4.29071204558465e-06,1.15582750639168e-07,1919
2010,0.999995593705064,4.29071204558465e-06,1.15582750639168e-07,1919
2011,0.99999559370508,4.29071204558465e-06,1.15582750639168e-07,1919
2012,0.999995593705101,4.29071204558465e-06,1.15582777207074e-07,1919
2013,0.999995593705101,4.29071204558465e-06,1.1558279448016e-07,1919
2014,0.999995593705102,4.29071204558465e-06,1.15582818495842e-07,1919
2015,0.999995593705113,4.29071204558465e-06,1.15582819501424e-07,1919
2016,0.999995593705113,4.29071204558465e-06,1.15582828338062e-07,1919
2017,0.999995593705115,4.29071204558465e-06,1.15582828338062e-07,1919
2018,0.999995593705115,4.29071204558465e-06,1.15582831461854e-07,1919
2008,0.999993910280699,5.92997679726015e-06,1.59740414533985e-07,1920
2009,0.999993910280699,5.92997679726015e-06,1.59741092427558e-07,1920
2009.5,0.999993910281111,5.92997679726015e-06,1.59741092427558e-07,1920
2010,0.999993910281917,5.92997679726015e-06,1.59741092427558e-07,1920
2011,0.999993910281939,5.92997679726015e-06,1.59741092427558e-07,1920
2012,0.999993910281968,5.92997679726015e-06,1.59741129145721e-07,1920
2013,0.999993910281969,5.92997679726015e-06,1.59741153017982e-07,1920
2014,0.999993910281969,5.92997679726015e-06,1.59741186208846e-07,1920
2015,0.999993910281984,5.92997679726015e-06,1.5974118759861e-07,1920
2016,0.999993910281984,5.92997679726015e-06,1.59741199811281e-07,1920
2017,0.999993910281987,5.92997679726015e-06,1.59741199811281e-07,1920
2018,0.999993910281988,5.92997679726015e-06,1.59741204128518e-07,1920
2008,0.999991542056527,8.23607888508354e-06,2.21861686852757e-07,1921
2009,0.999991542056527,8.23607888508354e-06,2.21862628371608e-07,1921
2009.5,0.999991542057099,8.23607888508354e-06,2.21862628371608e-07,1921
2010,0.999991542058218,8.23607888508354e-06,2.21862628371608e-07,1921
2011,0.999991542058248,8.23607888508354e-06,2.21862628371608e-07,1921
2012,0.999991542058289,8.23607888508354e-06,2.21862679369057e-07,1921
2013,0.99999154205829,8.23607888508354e-06,2.21862712524976e-07,1921
2014,0.99999154205829,8.23607888508354e-06,2.21862758623397e-07,1921
2015,0.999991542058312,8.23607888508354e-06,2.21862760553625e-07,1921
2016,0.999991542058312,8.23607888508354e-06,2.21862777515669e-07,1921
2017,0.999991542058316,8.23607888508354e-06,2.21862777515669e-07,1921
2018,0.999991542058316,8.23607888508354e-06,2.2186278351183e-07,1921
2008,0.999988252856287,1.14389984515049e-05,3.08141231739941e-07,1922
2009,0.999988252856287,1.14389984515049e-05,3.08142539405012e-07,1922
2009.5,0.999988252857081,1.14389984515049e-05,3.08142539405012e-07,1922
2010,0.999988252858636,1.14389984515049e-05,3.08142539405012e-07,1922
2011,0.999988252858678,1.14389984515049e-05,3.08142539405012e-07,1922
2012,0.999988252858734,1.14389984515049e-05,3.08142610234802e-07,1922
2013,0.999988252858736,1.14389984515049e-05,3.08142656284688e-07,1922
2014,0.999988252858736,1.14389984515049e-05,3.08142720310274e-07,1922
2015,0.999988252858766,1.14389984515049e-05,3.08142722991146e-07,1922
2016,0.999988252858766,1.14389984515049e-05,3.0814274654954e-07,1922
2017,0.999988252858772,1.14389984515049e-05,3.0814274654954e-07,1922
2018,0.999988252858772,1.14389984515049e-05,3.08142754877542e-07,1922
2008,0.999983911074781,1.56668884933071e-05,4.22031206519207e-07,1923
2009,0.999983911074781,1.56668884933071e-05,4.22032997501428e-07,1923
2009.5,0.999983911075869,1.56668884933071e-05,4.22032997501428e-07,1923
2010,0.999983911077998,1.56668884933071e-05,4.22032997501428e-07,1923
2011,0.999983911078056,1.56668884933071e-05,4.22032997501428e-07,1923
2012,0.999983911078133,1.56668884933071e-05,4.22033094510133e-07,1923
2013,0.999983911078135,1.56668884933071e-05,4.22033157580204e-07,1923
2014,0.999983911078136,1.56668884933071e-05,4.22033245269848e-07,1923
2015,0.999983911078176,1.56668884933071e-05,4.2203324894158e-07,1923
2016,0.999983911078176,1.56668884933071e-05,4.2203328120723e-07,1923
2017,0.999983911078185,1.56668884933071e-05,4.2203328120723e-07,1923
2018,0.999983911078185,1.56668884933071e-05,4.22033292613287e-07,1923
2008,0.999977227476021,2.21751663979082e-05,5.97349769462607e-07,1924
2009,0.999977227476021,2.21751663979082e-05,5.97352304447698e-07,1924
2009.5,0.999977227477561,2.21751663979082e-05,5.97352304447698e-07,1924
2010,0.999977227480574,2.21751663979082e-05,5.97352304447698e-07,1924
2011,0.999977227480657,2.21751663979082e-05,5.97352304447698e-07,1924
2012,0.999977227480765,2.21751663979082e-05,5.97352441755382e-07,1924
2013,0.999977227480768,2.21751663979082e-05,5.97352531025776e-07,1924
2014,0.999977227480769,2.21751663979082e-05,5.97352655143112e-07,1924
2015,0.999977227480827,2.21751663979082e-05,5.9735266034014e-07,1924
2016,0.999977227480827,2.21751663979082e-05,5.97352706009461e-07,1924
2017,0.999977227480839,2.21751663979082e-05,5.97352706009461e-07,1924
2018,0.999977227480839,2.21751663979082e-05,5.97352722153778e-07,1924
2008,0.999968527242711,3.06471794932724e-05,8.2556700033206e-07,1925
2009,0.999968527242711,3.06471794932724e-05,8.25570503807151e-07,1925
2009.5,0.999968527244838,3.06471794932724e-05,8.25570503807151e-07,1925
2010,0.999968527249002,3.06471794932724e-05,8.25570503807151e-07,1925
2011,0.999968527249117,3.06471794932724e-05,8.25570503807151e-07,1925
2012,0.999968527249267,3.06471794932724e-05,8.25570693573179e-07,1925
2013,0.999968527249271,3.06471794932724e-05,8.2557081694929e-07,1925
2014,0.999968527249273,3.06471794932724e-05,8.25570988485602e-07,1925
2015,0.999968527249352,3.06471794932724e-05,8.25570995668152e-07,1925
2016,0.999968527249352,3.06471794932724e-05,8.25571058785419e-07,1925
2017,0.999968527249368,3.06471794932724e-05,8.25571058785419e-07,1925
2018,0.999968527249369,3.06471794932724e-05,8.25571081097666e-07,1925
2008,0.999956287837098,4.25655270739894e-05,1.14662083379453e-06,1926
2009,0.999956287837098,4.25655270739894e-05,1.14662569973215e-06,1926
2009.5,0.999956287840053,4.25655270739894e-05,1.14662569973215e-06,1926
2010,0.999956287845836,4.25655270739894e-05,1.14662569973215e-06,1926
