Age,Season,Nursing_home_fraction
0,2005.0,1.0
0,2006.0,1.0
0,2007.0,1.0
0,2008.0,1.0
0,2009.0,1.0
0,2010.0,1.0
0,2011.0,1
0,2012.0,1
0,2013.0,1
0,2014.0,1.0
0,2015.0,1.0
0,2016.0,1.0
0,2017.0,1.0
0,2018.0,1.0
0,2009.5,1.0
1,2005.0,1.0
1,2006.0,1.0
1,2007.0,1.0
1,2008.0,1.0
1,2009.0,1.0
1,2010.0,1.0
1,2011.0,1
1,2012.0,1
1,2013.0,1
1,2014.0,1.0
1,2015.0,1.0
1,2016.0,1.0
1,2017.0,1.0
1,2018.0,1.0
1,2009.5,1.0
2,2005.0,1.0
2,2006.0,1.0
2,2007.0,1.0
2,2008.0,1.0
2,2009.0,1.0
2,2010.0,1.0
2,2011.0,1
2,2012.0,1
2,2013.0,1
2,2014.0,1.0
2,2015.0,1.0
2,2016.0,1.0
2,2017.0,1.0
2,2018.0,1.0
2,2009.5,1.0
3,2005.0,1.0
3,2006.0,1.0
3,2007.0,1.0
3,2008.0,1.0
3,2009.0,1.0
3,2010.0,1.0
3,2011.0,1
3,2012.0,1
3,2013.0,1
3,2014.0,1.0
3,2015.0,1.0
3,2016.0,1.0
3,2017.0,1.0
3,2018.0,1.0
3,2009.5,1.0
4,2005.0,1.0
4,2006.0,1.0
4,2007.0,1.0
4,2008.0,1.0
4,2009.0,1.0
4,2010.0,1.0
4,2011.0,1
4,2012.0,1
4,2013.0,1
4,2014.0,1.0
4,2015.0,1.0
4,2016.0,1.0
4,2017.0,1.0
4,2018.0,1.0
4,2009.5,1.0
5,2005.0,1.0
5,2006.0,1.0
5,2007.0,1.0
5,2008.0,1.0
5,2009.0,1.0
5,2010.0,1.0
5,2011.0,1
5,2012.0,1
5,2013.0,1
5,2014.0,1.0
5,2015.0,1.0
5,2016.0,1.0
5,2017.0,1.0
5,2018.0,1.0
5,2009.5,1.0
6,2005.0,1.0
6,2006.0,1.0
6,2007.0,1.0
6,2008.0,1.0
6,2009.0,1.0
6,2010.0,1.0
6,2011.0,1
6,2012.0,1
6,2013.0,1
6,2014.0,1.0
6,2015.0,1.0
6,2016.0,1.0
6,2017.0,1.0
6,2018.0,1.0
6,2009.5,1.0
7,2005.0,1.0
7,2006.0,1.0
7,2007.0,1.0
7,2008.0,1.0
7,2009.0,1.0
7,2010.0,1.0
7,2011.0,1
7,2012.0,1
7,2013.0,1
7,2014.0,1.0
7,2015.0,1.0
7,2016.0,1.0
7,2017.0,1.0
7,2018.0,1.0
7,2009.5,1.0
8,2005.0,1.0
8,2006.0,1.0
8,2007.0,1.0
8,2008.0,1.0
8,2009.0,1.0
8,2010.0,1.0
