"Season","H1","H2","H3","vac","panvac","Birth_year"
2008,0.999996867196747,3.05062510821429e-06,8.2177070169834e-08,0,0,1918
2009,0.999996867196747,3.05062510821429e-06,8.21774189063003e-08,0,0,1918
2009.5,0.999996867196959,3.05062510821429e-06,8.21774189063003e-08,0,0,1918
2010,0.999996867197134,3.05062510821429e-06,8.21774189063003e-08,0,0,1918
2011,0.99999686719715,3.05062510821429e-06,8.21774189063003e-08,0,0,1918
2012,0.999996867197205,3.05062510821429e-06,8.21774879887488e-08,0,0,1918
2013,0.999996867197206,3.05062510821429e-06,8.21775329026038e-08,0,0,1918
2014,0.999996867197207,3.05062510821429e-06,8.21775953487043e-08,0,0,1918
2015,0.999996867197236,3.05062510821429e-06,8.21775979634407e-08,0,0,1918
2016,0.999996867197236,3.05062510821429e-06,8.21776209406585e-08,0,0,1918
2017,0.999996867197242,3.05062510821429e-06,8.21776209406585e-08,0,0,1918
2018,0.999996867197242,3.05062510821429e-06,8.21776290632117e-08,0,0,1918
2008,0.999995593704183,4.29071204558465e-06,1.15582260140433e-07,0,0,1919
2009,0.999995593704183,4.29071204558465e-06,1.15582750639168e-07,0,0,1919
2009.5,0.999995593704481,4.29071204558465e-06,1.15582750639168e-07,0,0,1919
2010,0.999995593704727,4.29071204558465e-06,1.15582750639168e-07,0,0,1919
2011,0.99999559370475,4.29071204558465e-06,1.15582750639168e-07,0,0,1919
2012,0.999995593704826,4.29071204558465e-06,1.15582847944151e-07,0,0,1919
2013,0.999995593704829,4.29071204558465e-06,1.15582911206846e-07,0,0,1919
2014,0.999995593704829,4.29071204558465e-06,1.15582999164307e-07,0,0,1919
2015,0.99999559370487,4.29071204558465e-06,1.15583002847252e-07,0,0,1919
2016,0.99999559370487,4.29071204558465e-06,1.15583035211446e-07,0,0,1919
2017,0.999995593704879,4.29071204558465e-06,1.15583035211446e-07,0,0,1919
2018,0.999995593704879,4.29071204558465e-06,1.15583046652339e-07,0,0,1919
2008,0.999993910280699,5.92997679726015e-06,1.59740414533985e-07,0,0,1920
2009,0.999993910280699,5.92997679726015e-06,1.59741092427558e-07,0,0,1920
2009.5,0.999993910281111,5.92997679726015e-06,1.59741092427558e-07,0,0,1920
2010,0.99999391028145,5.92997679726015e-06,1.59741092427558e-07,0,0,1920
2011,0.999993910281481,5.92997679726015e-06,1.59741092427558e-07,0,0,1920
2012,0.999993910281587,5.92997679726015e-06,1.59741227284595e-07,0,0,1920
2013,0.99999391028159,5.92997679726015e-06,1.59741314961704e-07,0,0,1920
2014,0.999993910281591,5.92997679726015e-06,1.59741436863812e-07,0,0,1920
2015,0.999993910281648,5.92997679726015e-06,1.59741441968084e-07,0,0,1920
2016,0.999993910281648,5.92997679726015e-06,1.59741486822306e-07,0,0,1920
2017,0.999993910281659,5.92997679726015e-06,1.59741486822306e-07,0,0,1920
2018,0.99999391028166,5.92997679726015e-06,1.59741502678482e-07,0,0,1920
2008,0.999991542056527,8.23607888508354e-06,2.21861686852757e-07,0,0,1921
2009,0.999991542056527,8.23607888508354e-06,2.21862628371608e-07,0,0,1921
2009.5,0.999991542057099,8.23607888508354e-06,2.21862628371608e-07,0,0,1921
2010,0.99999154205758,8.23607888508354e-06,2.21862628371608e-07,0,0,1921
2011,0.999991542057623,8.23607888508354e-06,2.21862628371608e-07,0,0,1921
2012,0.999991542057769,8.23607888508354e-06,2.2186281333151e-07,0,0,1921
2013,0.999991542057774,8.23607888508354e-06,2.21862933582924e-07,0,0,1921
2014,0.999991542057775,8.23607888508354e-06,2.21863100774807e-07,0,0,1921
2015,0.999991542057852,8.23607888508354e-06,2.21863107775447e-07,0,0,1921
2016,0.999991542057852,8.23607888508354e-06,2.21863169294169e-07,0,0,1921
2017,0.999991542057868,8.23607888508354e-06,2.21863169294169e-07,0,0,1921
2018,0.999991542057868,8.23607888508354e-06,2.21863191041323e-07,0,0,1921
2008,0.999988252856287,1.14389984515049e-05,3.08141231739941e-07,0,0,1922
2009,0.999988252856287,1.14389984515049e-05,3.08142539405012e-07,0,0,1922
2009.5,0.999988252857081,1.14389984515049e-05,3.08142539405012e-07,0,0,1922
2010,0.999988252857737,1.14389984515049e-05,3.08142539405012e-07,0,0,1922
2011,0.999988252857795,1.14389984515049e-05,3.08142539405012e-07,0,0,1922
2012,0.999988252858,1.14389984515049e-05,3.08142799371839e-07,0,0,1922
2013,0.999988252858007,1.14389984515049e-05,3.08142968388899e-07,0,0,1922
2014,0.999988252858009,1.14389984515049e-05,3.0814320338223e-07,0,0,1922
2015,0.999988252858117,1.14389984515049e-05,3.08143213221845e-07,0,0,1922
2016,0.999988252858117,1.14389984515049e-05,3.081432996883e-07,0,0,1922
2017,0.99998825285814,1.14389984515049e-05,3.081432996883e-07,0,0,1922
2018,0.99998825285814,1.14389984515049e-05,3.08143330254593e-07,0,0,1922
2008,0.999983911074781,1.56668884933071e-05,4.22031206519207e-07,0,0,1923
2009,0.999983911074781,1.56668884933071e-05,4.22032997501428e-07,0,0,1923
2009.5,0.999983911075869,1.56668884933071e-05,4.22032997501428e-07,0,0,1923
2010,0.999983911076701,1.56668884933071e-05,4.22032997501428e-07,0,0,1923
2011,0.999983911076777,1.56668884933071e-05,4.22032997501428e-07,0,0,1923
2012,0.99998391107707,1.56668884933071e-05,4.22033368464694e-07,0,0,1923
2013,0.999983911077079,1.56668884933071e-05,4.2203360964593e-07,0,0,1923
2014,0.999983911077082,1.56668884933071e-05,4.22033944972918e-07,0,0,1923
2015,0.999983911077237,1.56668884933071e-05,4.22033959013694e-07,0,0,1923
2016,0.999983911077237,1.56668884933071e-05,4.22034082398199e-07,0,0,1923
2017,0.999983911077269,1.56668884933071e-05,4.22034082398199e-07,0,0,1923
2018,0.999983911077269,1.56668884933071e-05,4.22034126015195e-07,0,0,1923
2008,0.999977227476021,2.21751663979082e-05,5.97349769462607e-07,0,0,1924
2009,0.999977227476021,2.21751663979082e-05,5.97352304447698e-07,0,0,1924
2009.5,0.999977227477561,2.21751663979082e-05,5.97352304447698e-07,0,0,1924
2010,0.999977227478831,2.21751663979082e-05,5.97352304447698e-07,0,0,1924
2011,0.999977227478943,2.21751663979082e-05,5.97352304447698e-07,0,0,1924
2012,0.99997722747934,2.21751663979082e-05,5.97352808922958e-07,0,0,1924
2013,0.999977227479353,2.21751663979082e-05,5.97353136906826e-07,0,0,1924
2014,0.999977227479357,2.21751663979082e-05,5.9735359292009e-07,0,0,1924
2015,0.999977227479567,2.21751663979082e-05,5.97353612014229e-07,0,0,1924
2016,0.999977227479567,2.21751663979082e-05,5.97353779805588e-07,0,0,1924
2017,0.999977227479611,2.21751663979082e-05,5.97353779805588e-07,0,0,1924
2018,0.999977227479611,2.21751663979082e-05,5.97353839120613e-07,0,0,1924
2008,0.999968527242711,3.06471794932724e-05,8.2556700033206e-07,0,0,1925
2009,0.999968527242711,3.06471794932724e-05,8.25570503807151e-07,0,0,1925
2009.5,0.999968527244838,3.06471794932724e-05,8.25570503807151e-07,0,0,1925
2010,0.999968527246669,3.06471794932724e-05,8.25570503807151e-07,0,0,1925
2011,0.999968527246827,3.06471794932724e-05,8.25570503807151e-07,0,0,1925
2012,0.999968527247363,3.06471794932724e-05,8.25571184205612e-07,0,0,1925
2013,0.99996852724738,3.06471794932724e-05,8.25571626565697e-07,0,0,1925
2014,0.999968527247385,3.06471794932724e-05,8.25572241602246e-07,0,0,1925
2015,0.999968527247669,3.06471794932724e-05,8.25572267354991e-07,0,0,1925
2016,0.999968527247669,3.06471794932724e-05,8.25572493659413e-07,0,0,1925
2017,0.999968527247728,3.06471794932724e-05,8.25572493659413e-07,0,0,1925
2018,0.999968527247729,3.06471794932724e-05,8.25572573659078e-07,0,0,1925
2008,0.999956287837098,4.25655270739894e-05,1.14662083379453e-06,0,0,1926
2009,0.999956287837098,4.25655270739894e-05,1.14662569973215e-06,0,0,1926
2009.5,0.999956287840053,4.25655270739894e-05,1.14662569973215e-06,0,0,1926
2010,0.999956287842447,4.25655270739894e-05,1.14662569973215e-06,0,0,1926
2011,0.999956287842657,4.25655270739894e-05,1.14662569973215e-06,0,0,1926
2012,0.999956287843429,4.25655270739894e-05,1.14662667847767e-06,0,0,1926
2013,0.999956287843453,4.25655270739894e-05,1.14662731480766e-06,0,0,1926
2014,0.99995628784346,4.25655270739894e-05,1.14662819953081e-06,0,0,1926
2015,0.999956287843869,4.25655270739894e-05,1.14662823657584e-06,0,0,1926
2016,0.999956287843869,4.25655270739894e-05,1.1466285621122e-06,0,0,1926
2017,0.999956287843954,4.25655270739894e-05,1.1466285621122e-06,0,0,1926
2018,0.999956287843955,4.25655270739894e-05,1.14662867719082e-06,0,0,1926
2008,0.999939288662636,5.9118787602763e-05,1.59252893582573e-06,0,0,1927
2009,0.999939288662636,5.9118787602763e-05,1.59253569407244e-06,0,0,1927
2009.5,0.99993928866674,5.9118787602763e-05,1.59253569407244e-06,0,0,1927
2010,0.999939288670136,5.9118787602763e-05,1.59253569407244e-06,0,0,1927
2011,0.999939288670429,5.9118787602763e-05,1.59253569407244e-06,0,0,1927
2012,0.999939288671489,5.9118787602763e-05,1.59253703797187e-06,0,0,1927
2013,0.999939288671522,5.9118787602763e-05,1.59253791170616e-06,0,0,1927
2014,0.999939288671532,5.9118787602763e-05,1.59253912650501e-06,0,0,1927
2015,0.999939288672093,5.9118787602763e-05,1.59253917737093e-06,0,0,1927
2016,0.999939288672093,5.9118787602763e-05,1.59253962435957e-06,0,0,1927
2017,0.99993928867221,5.9118787602763e-05,1.59253962435957e-06,0,0,1927
2018,0.999939288672211,5.9118787602763e-05,1.59253978237214e-06,0,0,1927
2008,0.999915678698106,8.21094272260598e-05,2.21184574420241e-06,0,0,1928
2009,0.999915678698106,8.21094272260598e-05,2.21185513065616e-06,0,0,1928
2009.5,0.999915678703806,8.21094272260598e-05,2.21185513065616e-06,0,0,1928
2010,0.999915678708341,8.21094272260598e-05,2.21185513065616e-06,0,0,1928
2011,0.999915678708738,8.21094272260598e-05,2.21185513065616e-06,0,0,1928
2012,0.999915678710242,8.21094272260598e-05,2.21185703832296e-06,0,0,1928
2013,0.999915678710289,8.21094272260598e-05,2.2118582785898e-06,0,0,1928
2014,0.999915678710303,8.21094272260598e-05,2.21186000299818e-06,0,0,1928
2015,0.9999156787111,8.21094272260598e-05,2.21186007520242e-06,0,0,1928
2016,0.9999156787111,8.21094272260598e-05,2.21186070970332e-06,0,0,1928
2017,0.999915678711265,8.21094272260598e-05,2.21186070970332e-06,0,0,1928
2018,0.999915678711267,8.21094272260598e-05,2.21186093400233e-06,0,0,1928
2008,0.999883781394427,0.000113170016618636,3.04854908974206e-06,0,0,1929
2009,0.999883781394427,0.000113170016618636,3.04856202693044e-06,0,0,1929
2009.5,0.999883781402283,0.000113170016618636,3.04856202693044e-06,0,0,1929
2010,0.999883781408637,0.000113170016618636,3.04856202693044e-06,0,0,1929
2011,0.999883781409187,0.000113170016618636,3.04856202693044e-06,0,0,1929
2012,0.999883781411242,0.000113170016618636,3.04856463325023e-06,0,0,1929
2013,0.999883781411307,0.000113170016618636,3.04856632774531e-06,0,0,1929
2014,0.999883781411326,0.000113170016618636,3.04856868369116e-06,0,0,1929
2015,0.999883781412414,0.000113170016618636,3.04856878233907e-06,0,0,1929
2016,0.999883781412414,0.000113170016618636,3.04856964921595e-06,0,0,1929
2017,0.999883781412641,0.000113170016618636,3.04856964921595e-06,0,0,1929
2018,0.999883781412643,0.000113170016618636,3.04856995566096e-06,0,0,1929
2008,0.999836538232931,0.000159173918878821,4.28779212027437e-06,0,0,1930
2009,0.999836538232931,0.000159173918878821,4.28781031646303e-06,0,0,1930
2009.5,0.999836538243981,0.000159173918878821,4.28781031646303e-06,0,0,1930
2010,0.999836538252986,0.000159173918878821,4.28781031646303e-06,0,0,1930
2011,0.99983653825376,0.000159173918878821,4.28781031646303e-06,0,0,1930
2012,0.999836538256639,0.000159173918878821,4.28781396773653e-06,0,0,1930
