"","age_group","vac_status","season","Prediction","ci_high","ci_low","Observed"
"1","0-4","unvaccinated",2008,0,0,0,NA
"2","0-4","unvaccinated",2009,21.1854585181266,30,13,25
"3","0-4","unvaccinated",2009.5,113.855672687984,133,96,111
"4","0-4","unvaccinated",2010,3.2082673178266,7,0,3
"5","0-4","unvaccinated",2011,0,0,0,NA
"6","0-4","unvaccinated",2012,0,0,0,NA
"7","0-4","unvaccinated",2013,0,0,0,NA
"8","0-4","unvaccinated",2014,28.4166186186092,39,19,21
"9","0-4","unvaccinated",2015,0,0,0,NA
"10","0-4","unvaccinated",2016,14.6813257387532,22,8,18
"11","0-4","unvaccinated",2017,0,0,0,NA
"12","0-4","unvaccinated",2018,0,0,0,NA
"13","0-4","vaccinated",2008,0,0,0,NA
"14","0-4","vaccinated",2009,11.3130481629452,18,5,14
"15","0-4","vaccinated",2009.5,0,0,0,0
"16","0-4","vaccinated",2010,0.912513591164752,3,0,0
"17","0-4","vaccinated",2011,0,0,0,NA
"18","0-4","vaccinated",2012,0,0,0,NA
"19","0-4","vaccinated",2013,0,0,0,NA
"20","0-4","vaccinated",2014,15.8575321990132,24,9,12
"21","0-4","vaccinated",2015,0,0,0,NA
"22","0-4","vaccinated",2016,8.53408466638886,14,3,9
"23","0-4","vaccinated",2017,0,0,0,NA
"24","0-4","vaccinated",2018,0,0,0,NA
"25","5-9","unvaccinated",2008,0,0,0,NA
"26","5-9","unvaccinated",2009,30.320589089044,41,21,40
"27","5-9","unvaccinated",2009.5,106.094265984185,125,89,154
"28","5-9","unvaccinated",2010,3.54404215973189,7,1,1
"29","5-9","unvaccinated",2011,0,0,0,NA
"30","5-9","unvaccinated",2012,0,0,0,NA
"31","5-9","unvaccinated",2013,0,0,0,NA
"32","5-9","unvaccinated",2014,27.7099827637616,38,19,20
"33","5-9","unvaccinated",2015,0,0,0,NA
"34","5-9","unvaccinated",2016,16.7874542270788,25,10,14
"35","5-9","unvaccinated",2017,0,0,0,NA
"36","5-9","unvaccinated",2018,0,0,0,NA
"37","5-9","vaccinated",2008,0,0,0,NA
"38","5-9","vaccinated",2009,13.2216717750678,20,7,20
"39","5-9","vaccinated",2009.5,0,0,0,0
"40","5-9","vaccinated",2010,1.23721096352795,4,0,3
"41","5-9","vaccinated",2011,0,0,0,NA
"42","5-9","vaccinated",2012,0,0,0,NA
"43","5-9","vaccinated",2013,0,0,0,NA
"44","5-9","vaccinated",2014,18.4729916937284,27,11,14
"45","5-9","vaccinated",2015,0,0,0,NA
"46","5-9","vaccinated",2016,7.03191722093655,12,2,4
"47","5-9","vaccinated",2017,0,0,0,NA
"48","5-9","vaccinated",2018,0,0,0,NA
"49","10-14","unvaccinated",2008,0,0,0,NA
"50","10-14","unvaccinated",2009,26.2505450639535,36,17,15
"51","10-14","unvaccinated",2009.5,70.4117433412145,86,55,87
