"","loglik","df","n","cAIC","H1m","H3m","N1m","N2m","A0-4","A5-9","A10-14","A15-19","A30-39","A40-49","A50-64","A65-100","VE_2008","VE_2009","VE_2009.5","VE_2010","VE_2011","VE_2012","VE_2013","VE_2014","VE_2015","VE_2016","VE_2017","VE_2018","VE_0-4_h1","VE_5-9_h1","VE_10-14_h1","VE_15-19_h1","VE_20-29_h1","VE_30-39_h1","VE_40-49_h1","VE_50-64_h1","VE_65-100_h1","VE_0-4_h3","VE_5-9_h3","VE_10-14_h3","VE_15-19_h3","VE_20-29_h3","VE_30-39_h3","VE_40-49_h3","VE_50-64_h3","VE_65-100_h3","VE_h1_h1","VE_h1_h2","VE_h1_h3","VE_h3_h1","VE_h3_h2","VE_h3_h3","VE_2013-2017_h1","VE_2008-2012_h1","VE_2003-2007_h1","VE_1998-2002_h1","VE_1988-1997_h1","VE_1978-1987_h1","VE_1968-1977_h1","VE_1953-1967_h1","VE_1917-1952_h1","VE_2013-2017_h3","VE_2008-2012_h3","VE_2003-2007_h3","VE_1998-2002_h3","VE_1988-1997_h3","VE_1978-1987_h3","VE_1968-1977_h3","VE_1953-1967_h3","VE_1917-1952_h3","ve_h1","ve_h3","VE_2009-5"
"DAHVage_subtype",2765.05519553584,28,2181,5586.86503791183,0.660809266673985,0.331171734632494,NA,NA,3.01924472868934,2.55390365856939,1.71087102832571,1.22983700731546,1.05321433978074,0.890014357509521,1.03126141318187,1.6211960746877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69158490902721,0.260898755807425,0.924417526286311,0.862851152689129,0.838502953428541,0.0776040208365315,0.176751348094078,0.315386990755506,0.497971034847667,0.57851651808268,0.454374987650997,0.228984232179302,0.312129571866086,0.335145558303623,0.0990804035925822,0.359445879629723,0.466792977922018,0.407154679221493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAHNVage_subtype",2765.0552034782,29,2181,5588.9193330373,0.660797172211982,0.33112443085823,NA,0,3.01997226095565,2.55426955659122,1.71109330499346,1.23004141562223,1.05341325524146,0.890235259148391,1.03155248734206,1.62173981034903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691631743041124,0.261032672756776,0.9243847880515,0.862911843810471,0.838514247593911,0.0778004802445935,0.177017420686586,0.315567827557144,0.498234527759547,0.578541297019985,0.454375467326426,0.228994135499518,0.312055003520109,0.335105263804042,0.0991851253935857,0.359595167234944,0.466802580407466,0.407206822612043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAHNVage_group",2773.79436385471,29,2181,5606.39765379031,0.515701164583716,0.297170357686474,NA,0,3.06767867842461,2.55889164815387,1.72716280919449,1.2402464588082,1.05465694116963,1.04981141889594,1.19005447428807,1.53468216237984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.697016469765424,0.315097344015837,0.925635011571955,0.863633719011304,0.841453179528842,0.113276023974615,0.160175180120046,0.0891043540742239,0.609803073054977,0.565385659907975,0.435988170343466,0.217620429007417,0.305543624810396,0.320682123412275,0.0775666232624351,0.440078102089301,0.512805257383137,0.337897187352428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAHNVseason_subtype",2805.68399871216,22,2181,5655.83695015833,0.657986628805948,0.234303111771629,NA,0,2.79629466486622,2.68490117410916,1.71372840911087,1.22460537234461,1.23023832691216,0.97822774986384,1.10683892727449,1.77614234181333,0.500245405385423,0.476962453714443,NA,0.0412913315328789,0.469383106368935,0.574089201659022,0.363974257020683,0.579643300588598,0.23906662987056,0.431812328066709,0.434015100910126,0.34837522200437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"DAHNVseason_group",2823.5084724305,22,2181,5691.48589759502,0.448456062345618,0.219166354773665,NA,0.0281242901529082,2.81338979390701,2.66238339168164,1.73209940531672,1.24281329599508,1.22905467074933,1.1101686843545,1.20744927001922,1.66660553459959,0.497090056639739,0.493206762592177,NA,0.0598946559910311,0.464663385622352,0.572474847935984,0.364196172228405,0.581637531862463,0.233919488256697,0.431398416146998,0.431598833007504,0.341823926545665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"DAHNVmean_subtype",2815.42204386393,13,2181,5657.01206188568,0.659831384037757,0.220926276355697,NA,0,2.79398985171384,2.69022128701664,1.70973549543349,1.22687943220382,1.2298558354082,0.978312330343559,1.1127098825837,1.78949700698736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509079956562155,0.409549579405479,NA
"DAHNVmean_group",2833.21079562753,13,2181,5692.58956541289,0.451992827833334,0.211133501888302,NA,0.0162437134896324,2.81583870117838,2.66915314554579,1.72851939746998,1.24546020959736,1.22885770021882,1.10876221683461,1.21302194080097,1.68565065147164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514587941394243,0.406439260165268,NA
"DAHNVimprinting_subtype",2823.85212821972,17,2181,5681.98719680005,0.646565448304643,0.256076657345585,NA,0,2.37801814997967,2.64993882938746,1.71182828938482,1.23421194703325,1.22501689614469,0.960718719890521,1.03199301940448,1.81337497665236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.524676525926974,0.127713572583822,0.683252092846611,0.452498956180542,0.39683605837009,0.418754978912248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAHNVimprinting_group",2842.12174268606,15,2181,5714.46519437905,0.553148066309018,0.178680657032545,NA,0.0328138605643885,2.43018102106427,2.64035466664846,1.72041600668937,1.23930518363197,1.2227310968213,1.13264983023903,1.25678252599549,1.73765159560768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307202539973404,NA,0.726237203097635,0.426118323140488,NA,0.434164402844328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAHNVcohort_subtype",2782.07955892706,29,2181,5622.96804393501,0.647151058109998,0.305073082532325,NA,0,2.91144292644607,2.71454161754297,1.74442500952318,1.28195998039284,1.10966215233995,0.895675278145223,1.01446512588857,1.72036939068344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595665262815216,0.666077810833035,0.623537467278414,0.589872443331222,0.884931147952969,0.510375544715322,0.111688584753142,0.223530865159046,0.474728726442927,0.465325174321787,0.569438200432432,0.434381684219873,0.367792791369714,0.532949002090706,0.10654480955704,0.222749261880501,0.399172643945649,0.439343910874638,NA,NA,NA
