"","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"2008",0.000274524357123456,0.00032740513475719,0.000414545649703744,0.000437770401286404,0.000544445090625249,0.000504669361826923,0.00054225618195996,0.000628170127048403,0.000729144574996076,0.000691574748618302,0.000754828354967741,0.000800330876619284,0.000796537328498999,0.000850296311735078,0.00087128236682017,0.000841493392523127,0.000780628573786445,0.000914375630940167,0.000990583824267853,0.00101318479633701,0.000905431110152574,0.00103532636904728,0.00103189494500201,0.0010556172348503,0.001194049417372,0.00340910102577117,0.00326148422430591,0.00324181970910793,0.00357914576253672,0.00475097821858136,0.00450923001149839,0.00468480392510877,0.00496094975860035,0.0057193274844396,0.006471331161416,0.00700313321866753,0.00793056882017514,0.00948648585383675,0.0107195034614316,0.0133852461767534,0.0105855953956729,0.0107610124469063,0.0114912714079711,0.0106597198913194,0.0114355010687112,0.0105612139438417,0.00983947601138671,0.00970114895579408,0.00897491301226305,0.00805776464371531,0.0165232434549018,0.0167344684773588,0.015794632124413,0.0166008453885473,0.0152480837269335,0.0135202822572685,0.0122144797486927,0.0116473482483863,0.0118699706787236,0.0123247627528477,0.0110505956223319,0.0126270329365549,0.0125966999879813,0.0124992241380339,0.0128201741697322,0.0135717111361733,0.0136327704350664,0.0138912655467554,0.01475031289915,0.0163970447452693,0.0203061380476179,0.0234654892898531,0.0236598316058612,0.0220288462841138,0.023041560438856,0.0369910024723358,0.0335193785703612,0.0340434998390975,0.0372402961284854,0.0331566067021117,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009",0.000106987501665974,0.000124461680633515,0.000157514447075891,0.00016789985171944,0.00021356976568438,0.000197684284252194,0.000225459015201421,0.000253227481308474,0.000295060556340003,0.00028754014083081,0.00031005929546694,0.000341196121474534,0.00034143210683648,0.000373846624714692,0.000364138909094126,0.000349072636724528,0.000344055324205819,0.000401123051447645,0.000415545908070292,0.000432031753365092,0.000389587952883331,0.000440054487745577,0.000431095630991194,0.000463070152570382,0.000529331525202543,0.000710934777589194,0.00211033778576966,0.00210149203817817,0.00236881039920016,0.00311394617912037,0.00291651602875402,0.00305197583197502,0.00323023253201352,0.00373991524418155,0.00422297498354328,0.00456393146319513,0.00515869591802477,0.00621393395834656,0.00695785231307156,0.00861423899112394,0.00871929763582381,0.0138465645836948,0.0147052417474399,0.0137775563871857,0.0142127540752694,0.0133712297089777,0.0127064737034038,0.012407546592064,0.0116649220500292,0.0101012485479768,0.0104980775697064,0.0151258779443219,0.0142789682040599,0.0152132435427646,0.0137687749342842,0.0122165026502765,0.0110074636792752,0.0104072238493848,0.0105867515105962,0.0108631071154154,0.0105282121444014,0.012437934562563,0.0125302459240646,0.0125266160210373,0.0123130721891924,0.0126315814876167,0.0124274869633182,0.0125035030937424,0.012982225936167,0.0143792039495624,0.0146194386125741,0.0282612608386325,0.0297209217349399,0.028741096531137,0.0292869155092207,0.0290172040837098,0.0390384341702059,0.0380646296509485,0.0432421841522109,0.0395240865739539,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009.5",0.000598601013569853,0.000716692215157233,0.000894974145222663,0.000994959302317117,0.00122089794267386,0.0012445844912468,0.00131917985195829,0.0014837464206451,0.00172851019097345,0.00178180498591016,0.00184963841380858,0.00203434301310401,0.00209196237712671,0.00223475484733215,0.00227071361411732,0.00218836277239176,0.00211194329827746,0.00234077934645529,0.00252187370215715,0.00264282596305705,0.00247803849784719,0.00260456457443786,0.0026688611475523,0.00276302107959119,0.00310190443365876,0.00344657451513767,0.00441238221770167,0.00449053485383697,0.00478639902113891,0.00614037783626904,0.00642596633621793,0.00647289533989777,0.00680876335025319,0.00768342220963533,0.00884036959463621,0.00973869421449367,0.0108838710934793,0.0130154869042513,0.0149467173851971,0.0176991177680397,0.0180069672995352,0.0182260135770431,0.0193497001879113,0.0188570023634482,0.0188780460621779,0.018355611142972,0.0173467276528015,0.0167940724318566,0.0160832414381275,0.0142595758286875,0.0135197044316375,0.016054774598596,0.01657498095955,0.0170401291201804,0.0163350238818509,0.0145444731634524,0.0129335283477222,0.0118810475591253,0.0118236399715087,0.0122256530755774,0.0121646510643909,0.0144810265541433,0.0153325828754345,0.0153914619524945,0.0151733952651333,0.0154997784672686,0.0154006730489724,0.0149901592822671,0.0159845955600756,0.0175603690066013,0.0173342785370063,0.0218180970477942,0.0245118831940578,0.0245284063429126,0.0245807436377603,0.0237553345504229,0.0363259555133263,0.0439645555103201,0.0481007672660326,0.0460980583689631,0.0442342035800855,NA,NA,NA,NA,NA,NA,NA,NA
"2010",0.000658317179201573,0.000862942603014974,0.00111533656841206,0.0011297025045707,0.00145914667164103,0.00143278748525581,0.00158625936190324,0.00186444242367648,0.00214053970981835,0.00216041834139209,0.00225604757387594,0.00244041925663832,0.00246146463167269,0.00275949429196119,0.00269971169738373,0.00263466417920458,0.00258118265918752,0.0031075849174027,0.00316535237705384,0.00326583935823643,0.00294963245328956,0.00329823842882398,0.00320393012917519,0.00356517578567794,0.0039494468958488,0.00435564457657547,0.00417895834624756,0.00357936527336049,0.00410390038855039,0.00531665999147593,0.00500529728331234,0.00534407265647796,0.0055239466715459,0.00650187670913471,0.00728333977311186,0.00798443583257166,0.00913680349090374,0.0107155542479864,0.0121736749440019,0.0147862264921847,0.014347740326568,0.0148720535504205,0.0181064003076301,0.0166964516375923,0.0171430431839896,0.0163599230715534,0.015501181341246,0.0150984967265579,0.0141537687966424,0.0123270994452559,0.0122443009278667,0.0124972312371391,0.0150184399068167,0.0162185363016703,0.014624752087111,0.0131721397471613,0.0122252469415549,0.0113066184745836,0.011472335012655,0.0119242598000848,0.0112242173367992,0.0134584801317578,0.013986801962598,0.0142177050895446,0.0137271504392324,0.0139488359135392,0.0138475774567674,0.0146153799855546,0.0142344974536764,0.0153233905889117,0.0149926188715881,0.0184508557946944,0.0198808339094406,0.0200477458437075,0.0209592762305652,0.0195391191703176,0.0192075020222832,0.0329066450317543,0.036380952816576,0.0329073016944607,0.0336608268308876,NA,NA,NA,NA,NA,NA,NA,NA
"2011",6.7005072711336e-05,8.93417954626472e-05,0.000120265674855122,0.000164930032616973,0.000216490901754828,0.000204631066838066,0.000228604235609127,0.000269823572082513,0.000329953267780005,0.000366132910342246,0.000361097391454545,0.000393677359757507,0.000390358084955054,0.000474411520578538,0.000478119785089031,0.000459325474792172,0.000426762341375529,0.000534902550850336,0.000552572597984471,0.00056664059772591,0.000518950898199465,0.000593316918458046,0.000577063191058286,0.000629958224493574,0.000690583287935236,0.000771430674271846,0.000758077441200712,0.000724634696340103,0.00235241497764467,0.00313370005247128,0.00298354673385629,0.00319353686107498,0.00322739996277417,0.00373689446335206,0.00425624211814915,0.00473492288081647,0.00531030391121646,0.00638972083033226,0.00725810843570591,0.00875482535955483,0.00848128710758774,0.00868053447312123,0.00912464982583884,0.0148430615571521,0.0151695383234287,0.0147255021163294,0.0139743587264098,0.0133121512027069,0.0124568762646483,0.0110178042937087,0.0106121792090571,0.010830198014157,0.0103667492421357,0.014840247835219,0.0134839392382361,0.0118767489242006,0.0117547222026385,0.0106355696245269,0.0107323621666811,0.0107557791300249,0.0109205013393676,0.0125480941066964,0.0120594304391791,0.0116224840834357,0.0114194096603923,0.0119329831351422,0.0106131878869177,0.0113810735286907,0.0115957523117811,0.0121214127185919,0.0113398746297086,0.0132274671390632,0.0142294100618358,0.0204611809234964,0.0224982353599082,0.0216090070503929,0.0189626161514436,0.0197105614953083,0.0344044161763433,0.0309432339098042,0.0310749333251379,0.0297659362332093,0.0278804767494357,NA,NA,NA,NA,NA,NA
"2012",7.63066911598751e-05,9.99125667448467e-05,0.000131202080399745,0.000168554697282289,0.000192242544132632,0.000202066936727346,0.000231200448570554,0.000264641855608553,0.000308662803792472,0.000320777098300866,0.000332275812702031,0.000355386325087602,0.000388804234233807,0.000438958442513214,0.000431360928390883,0.000411054991901846,0.000433499482648765,0.000493121649970605,0.000512508096360706,0.000521730862807958,0.000515258383681956,0.000557313799928451,0.000551810137250396,0.000604892666495649,0.000662446844039872,0.000700617302201171,0.000684590623002008,0.000697622779901787,0.00135381075273062,0.00246971331746602,0.00241077796268358,0.00257399621144158,0.00279359763809184,0.00316432022987231,0.00353013414032419,0.00388780934015369,0.00443929256784742,0.00522043392582482,0.00614908004557535,0.00709252289392401,0.0069090184550807,0.00714318300902893,0.00725540816724671,0.0086745998692146,0.013199164912231,0.0127477030552761,0.0120109255345865,0.0114510277963343,0.0104024880816456,0.00933063765203063,0.00920382511495998,0.0093699483347561,0.00927065537176685,0.0104469570317586,0.0118453992558155,0.0107800548834895,0.0103196157835641,0.0096171698887471,0.00955419938762421,0.00957944382953931,0.0100592666062841,0.011142538250733,0.0108800158842173,0.0115345777601517,0.0116777969167424,0.0119321681081184,0.0117784585336871,0.011730909111871,0.012037149545237,0.0122574533835633,0.0123061426748153,0.0141347860245643,0.0143864513574878,0.0179405500542043,0.0241157497730526,0.022998443052589,0.0213211957475595,0.0218296848932731,0.0231972072750286,0.0184421840818369,0.0180151101117883,0.0169426931739747,0.016745555517048,NA,NA,NA,NA,NA,NA
"2013",9.05914412535211e-05,0.000118062020386072,0.000155187012819925,0.000203458891676681,0.00024003036563156,0.000244435398935302,0.000278486686391824,0.000344633703380121,0.000395287446325458,0.000413904242284738,0.000430222369541918,0.000462889779220855,0.000517828659572216,0.000577462284668411,0.000588060642790319,0.000560676046936726,0.000578172648604047,0.000669382422004578,0.000699267484875498,0.000714900460281124,0.00069406009217598,0.000744365442259645,0.000737523490603287,0.000813828275265515,0.00089539340014542,0.000950208023728919,0.000926183874737675,0.000957462089261208,0.0011327793511301,0.00154031754780367,0.00187501254225998,0.00201721746182339,0.00216823964023549,0.00246451401773716,0.00276291526687196,0.00304286237448613,0.00347983333644251,0.00406467713996996,0.0048161274918467,0.00545122088262905,0.00536248845450086,0.00558354582666087,0.00566031000293373,0.00541020416514825,0.00742385879062614,0.0116581361001031,0.0110312511638822,0.0106335254762358,0.00986883015402562,0.00895153895457756,0.00880881527047955,0.00869198674874976,0.00865910769277151,0.00865254740911796,0.00851184773276751,0.00981445709131217,0.00953570306652792,0.00865582119605058,0.00872248919974668,0.00876981028563623,0.00909301092997317,0.0101237318664761,0.0100268440144909,0.0101017599924628,0.00942736541717892,0.00954833103391847,0.00993650814523232,0.00964963401201045,0.00972405748803506,0.00995577731975569,0.0100039154846522,0.0114624703755566,0.0113226208631973,0.0121542059973987,0.0164275102034841,0.0224703296412831,0.0212010964733429,0.0221151392800695,0.023722586099539,0.0261534821119788,0.0325042532579992,0.0309987070476664,0.0304977860300821,0.0301759435774415,NA,NA,NA,NA,NA
"2014",9.857810424764e-05,0.000127963881284903,0.000167339444403449,0.000220212814795838,0.000291379429831534,0.000339069075132169,0.000363343564897546,0.000469863718054184,0.000537650396278479,0.000588512507194662,0.000580092405927213,0.000636588300479307,0.000751971401254347,0.000830564049131757,0.000841693397367148,0.000823580656662599,0.000843050904131898,0.000984347249897276,0.00104836489844335,0.00105850996287435,0.0010326480225772,0.00110629882449044,0.00106734211464708,0.00118846800377675,0.00133389973824627,0.00141569155241337,0.00137818076801322,0.001448594482461,0.00173670975954959,0.00193971531457631,0.00247255801299204,0.00363149705195386,0.00393541636213853,0.00449897518602354,0.00503362423942949,0.00551142997013229,0.00625412564038007,0.00719236475350574,0.0087415876834535,0.00999217367163633,0.00987930650415922,0.0102545583972292,0.010262387198164,0.00979545100620672,0.0100109867054577,0.0107521955747561,0.0119536065647996,0.0113298152298599,0.0107558133629156,0.00950430979031176,0.0094095013338662,0.00936507659107227,0.00936908016254781,0.00933576702027744,0.00823574656490719,0.00827667415472261,0.00874911354251303,0.00799944950329054,0.00812670488711111,0.00825570626583324,0.00844464645305952,0.00965847582020324,0.00930691063358509,0.00907075485520168,0.00862377424370756,0.00949009498854793,0.0106839706971945,0.0102284254583414,0.0103777041069563,0.0103433126118499,0.0101370178161864,0.0117490401365162,0.0116802225157211,0.0122520446275245,0.0132733931180593,0.0146382342407816,0.0176424097029215,0.0188686360498753,0.0203273979729494,0.0190065090428672,0.0210329990427657,0.0231856621212918,0.0233281436798242,0.0230671269845555,0.0226104751323692,NA,NA,NA,NA
"2015",7.96262858715641e-05,0.000102390565978184,0.000131360224802782,0.000172568871269165,0.000226927089974639,0.000298445340805668,0.000374297326694673,0.000434251089617228,0.000518239466967665,0.000572454134546556,0.000561213507283178,0.000644713827461875,0.000737234554536331,0.000816741883757897,0.000824346636578706,0.00081975829268354,0.00084580208120202,0.000982210910118721,0.00103982148814643,0.0010645210265495,0.0010503870675901,0.00112885604068215,0.00111449806654247,0.00123943122004645,0.00137869989194431,0.00145655130200442,0.00143318780620866,0.00149730831301728,0.00180436582897352,0.00206141035818058,0.0019860444016136,0.00258468263831765,0.00347568374473871,0.00398292848656907,0.00444141353262911,0.00490100720926055,0.00557756309529483,0.00640290968049372,0.00777295676460135,0.00892403040336893,0.00894307300826725,0.00919097687195114,0.00920272656254113,0.00869853451853988,0.00907328991360296,0.00881233379210095,0.00903110331250813,0.0103544830085013,0.00973710197215179,0.00857667778501602,0.00849110701248589,0.00830918862749032,0.00835041287581369,0.0082530516033582,0.00730536354219011,0.00684944072819196,0.00740583144280334,0.00880702201403963,0.00877250391653247,0.00876154977937519,0.00912133210152453,0.0104455273561855,0.0101964649707334,0.00997514905788043,0.00947936657124398,0.00990904301296698,0.0101492279461159,0.0102481508197787,0.0101823397094823,0.0102588678689362,0.0104029877859826,0.011932913598871,0.0117582180951347,0.012071808180562,0.0129041502367738,0.012328184810331,0.013286231073432,0.0162291894440459,0.0181301651521367,0.0171491447301448,0.0162802315839925,0.0189186317345873,0.0267523391443797,0.0268071815803096,0.0262279802864138,0.0259780990148279,NA,NA,NA
"2016",5.97206520799945e-05,7.66146277827637e-05,9.86475664273284e-05,0.000127327313716295,0.000166643301546488,0.000220062336020692,0.000289630890113736,0.000369823997855814,0.00044197060598361,0.000471580478192104,0.000457814806386903,0.000530369127112374,0.000630415338904865,0.000706595615330108,0.000716914433846853,0.00072039527824404,0.000752600926942911,0.000875657254357027,0.000942296408980005,0.000981325406322118,0.000971814072559829,0.00102754511957102,0.00101814355193441,0.00114121031564206,0.00125662429864783,0.00133127039870274,0.00130684326704531,0.00137108407548676,0.00163149961442944,0.00187650512155366,0.0018621618642976,0.00195112368458392,0.00272498139888481,0.00378107765269117,0.00422960637688094,0.00468521337953597,0.00530487320442721,0.00628455073011082,0.00753238971967255,0.00852091237832061,0.00841393804825547,0.00867348043816759,0.00881629682924613,0.00838512039667695,0.00847073868221855,0.00825286667440519,0.0079265945374157,0.00879633598783244,0.0105948127730745,0.00929174970862714,0.00901411885358934,0.00880456433085022,0.00899060400442266,0.00910158858107062,0.00825772984943304,0.00746920146644575,0.00721883325236106,0.00814166972739697,0.0116450785330672,0.0116064731098169,0.0122968214893586,0.0138979725002607,0.013709881725396,0.0136073312018293,0.0129016418457718,0.0132075582539812,0.013136418819243,0.0118435206308955,0.0102898537921231,0.00972917209623082,0.00957576190094659,0.011069035610505,0.0113915794134021,0.011307393539469,0.0116253274835695,0.0116023154297423,0.0114121390953426,0.0135986360189048,0.0171986347566343,0.0167226032174446,0.0159804230473803,0.0149826982087819,0.0166992401239419,0.0174635912795767,0.0172265492143103,0.0171089988358441,0.0156813175082079,NA,NA
