"","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"2008",0.000274517556905257,0.000327397024568616,0.000414535380838471,0.000437759556949562,0.00054443160348938,0.00050465685968221,0.000542242748110864,0.000628154563911181,0.0007291265087819,0.000691557611438738,0.000754809647573652,0.000800311037504973,0.000796517577522673,0.000850275219425531,0.000871260741938359,0.000841472490904611,0.000780609163251665,0.000914352861974643,0.000990559105078699,0.00101315944216497,0.000905408363289544,0.00103530021753223,0.00103186869464482,0.00105559008983228,0.00119401828580287,0.0034092025484139,0.00326157977234514,0.00324191161978454,0.00357924274436514,0.00475109832051685,0.00450933350612972,0.00468489674195711,0.0049610276215886,0.00571938840955588,0.00647135478724257,0.00700310306069728,0.00793045982561053,0.00948625530302026,0.0107191224177331,0.013384686106882,0.0105852763812522,0.0107606887030906,0.011490925952022,0.0106593997660484,0.0114351581412367,0.0105608978536931,0.009839182378744,0.00970086057071157,0.00897464767919348,0.00805752826058081,0.0165222105313382,0.0167334288965351,0.0157936607941444,0.0165998393982418,0.015247179362848,0.013519505687583,0.012213811108762,0.0116467617632097,0.0118694157845294,0.0123242206166586,0.0110519342795869,0.012628500747762,0.0125981735777053,0.0125006941118214,0.0128216948118993,0.0135733103859472,0.0136343620036134,0.0138929693694859,0.0147520675421398,0.0163989096351059,0.0203059317596572,0.0234651492761513,0.0236595084927579,0.0220285314815915,0.0230412168248148,0.036989953130646,0.033518497003017,0.0340425470893869,0.0372391292906158,0.0331556096588333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009",0.000106984128411228,0.000124457756403046,0.000157509480662419,0.000167894557792935,0.00021356303166332,0.000197678050978155,0.000225451905913296,0.000253219496065537,0.000295051251372006,0.000287531072258697,0.000310049515527752,0.000341185357706505,0.000341421333095258,0.00037383482448818,0.000364127410272004,0.000349061606993631,0.000344044443875843,0.000401110352042595,0.000415532729996458,0.000432018022208381,0.000389575532350614,0.000440040398206897,0.000431081750791485,0.000463055115135036,0.000529314146840441,0.000710913289145496,0.002110385346438,0.0021015374150495,0.00236885857486576,0.00311400385113412,0.00291656325557691,0.00305201567095283,0.00323026139861933,0.00373992980643615,0.00422296185910674,0.00456388096324706,0.00515859015344889,0.00621374094361406,0.00695755795964941,0.00861382033280908,0.00871888179637572,0.013846054429642,0.0147047002865046,0.0137770495138522,0.0142122318069602,0.0133707391476862,0.0127060086364471,0.0124070938979597,0.0116644983527028,0.010100883947901,0.0104976686152029,0.0151248360678694,0.0142779935822034,0.0152122188240866,0.0137678652547283,0.01221571840353,0.0110067867214013,0.010406629473248,0.0105861850548088,0.0108625558567919,0.0105278184054688,0.0124392963184447,0.0125316270419491,0.0125280045428397,0.012314449452308,0.012632984572385,0.0124288538168149,0.0125049521839044,0.0129836825008147,0.0143807421481596,0.0146207570731696,0.0282606603282521,0.0297203149762749,0.0287404915581655,0.0292862808213918,0.0290165568877545,0.0390371436088799,0.0380633071052609,0.0432405370080117,0.0395226309330926,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009.5",0.000598589349267582,0.000716678249594006,0.000894956705396941,0.000994939913770981,0.00122087415068302,0.00124456023682204,0.00131915414243891,0.00148371750186087,0.00172847649833276,0.00178177024968228,0.00184960234832368,0.00203430333595257,0.00209192156069378,0.00223471122299008,0.00227066925656618,0.00218831998169776,0.00211190194581242,0.00234073342941013,0.00252182409894229,0.00264277379562348,0.00247798933921976,0.00260451255026691,0.00266880735928848,0.00276296463144898,0.00310183995345147,0.00344650114787937,0.00441242686383266,0.00449068590116113,0.00478655401243743,0.00614056551476249,0.00642614778594201,0.00647305779359226,0.0068089062005916,0.00768354466538405,0.00884044859190317,0.00973870374602816,0.0108837790315224,0.0130152393743904,0.0149462650698765,0.01769847073353,0.0180063088951586,0.0182254879507345,0.019349220750445,0.0188565357215075,0.0188775797175726,0.0183551587804196,0.0173463016634492,0.0167936619525517,0.0160828509553612,0.0142592328709698,0.0135193833669141,0.0160540229011427,0.016574049238312,0.0170391865682469,0.0163341413854457,0.0145437146406095,0.0129328887091895,0.0118805121131039,0.0118231497523459,0.0122251799402767,0.0121641721538485,0.01448200438843,0.015334457621199,0.0153933534997169,0.0151752753220137,0.0155016869585014,0.0154025525720672,0.0149920773545241,0.0159865817976582,0.0175624593835268,0.017336300325435,0.0218185571186234,0.0245116789870121,0.024528186705846,0.0245805087315603,0.0237551292710193,0.0363253390055096,0.0439635652674659,0.0480995256385285,0.0460969332590552,0.0442331985243313,NA,NA,NA,NA,NA,NA,NA,NA
"2010",0.000658299310857124,0.000862919180461836,0.00111530629492224,0.00112967184072794,0.00145910706484712,0.00143274859297511,0.00158621630204485,0.00186439180984676,0.00214048159669575,0.00216035968283006,0.00225598631048749,0.00244035297439931,0.00246139775960857,0.00275941929613838,0.00269963828912612,0.0026345924892957,0.00258111235601208,0.00310750016532187,0.00316526588156443,0.00326574988803023,0.00294955135541158,0.00329814729604612,0.00320384102619502,0.00356507565282215,0.00394933455855776,0.00435551850893012,0.00417884773304055,0.00357945826490978,0.00410400185623508,0.00531678178419187,0.00500540029270072,0.00534416586070998,0.00552402027006909,0.00650193055033875,0.00728334909023077,0.0079843825129725,0.00913665624981018,0.0107152684146658,0.0121732133391871,0.0147855727365513,0.0143471058659483,0.0148714108597541,0.0181058130450735,0.0166959106257285,0.0171424884443367,0.0163593946327235,0.0155006819899613,0.0150980120901696,0.014153316792688,0.0123267085851895,0.0122439164054669,0.0124968075445653,0.0150174807040222,0.0162175150313662,0.0146238500291871,0.0131713519608563,0.0122245487538079,0.0113060223816965,0.0114717715662941,0.0119237070900692,0.0112236895874103,0.0134579463730022,0.0139884051635594,0.0142193436510553,0.0137287463399734,0.013950446826854,0.0138491616724627,0.0146171386249359,0.0142361577084615,0.0153250979514742,0.0149942534729177,0.018452553689619,0.0198805176476544,0.0200474148377978,0.0209589183881042,0.0195388042988339,0.0192072054457306,0.032905663428696,0.0363797520462269,0.0329062713799914,0.0336598423750372,NA,NA,NA,NA,NA,NA,NA,NA
"2011",6.70027557616585e-05,8.93387061198375e-05,0.00012026151616621,0.000164924329409766,0.000216483415484033,0.000204623990541896,0.000228596330063181,0.000269814240729638,0.000329941856318802,0.000366120246629265,0.000361084900572203,0.000393663739918229,0.000390344577060057,0.000474395099466893,0.000478103229038238,0.000459309560758665,0.000426747544214022,0.000534883984962608,0.000552553389472215,0.000566620860477758,0.000518932770988005,0.000593296112610937,0.000577042851435601,0.000629935846719991,0.000690558509766048,0.000771402609806994,0.000758049340932439,0.000724607151488887,0.00235245516836,0.00313374853429597,0.00298358594796476,0.00319356880946578,0.00322741896239226,0.00373689761857096,0.00425621591144706,0.00473485605041299,0.00531017884553,0.00638950287128604,0.00725777924808018,0.00875437317314471,0.00848084899495489,0.00868008620637895,0.00912417882939537,0.0148424696861302,0.0151689346412184,0.0147249169684651,0.0139738046433249,0.0133116249128386,0.0124563858192001,0.0110173730170668,0.0106117670275381,0.0108297824787715,0.0103663579659398,0.0148392041048936,0.0134830072795219,0.0118759502959763,0.0117539634786821,0.0106349298237505,0.0107317552571503,0.0107552006012519,0.0109199066661956,0.0125473431829578,0.0120587176873317,0.0116237317330073,0.0114206523398601,0.011934272498419,0.0106143231482481,0.0113823583547806,0.0115970185633286,0.0121226731733102,0.0113410266606751,0.013228757690122,0.01423081062084,0.0204606963627188,0.0224976840248886,0.0216084982401292,0.0189622119880544,0.0197101105401439,0.0344030261452209,0.0309420356388278,0.0310737944017745,0.0297649532349577,0.0278795604419828,NA,NA,NA,NA,NA,NA
"2012",7.63039701259815e-05,9.99090039248791e-05,0.000131197401780555,0.000168548686619569,0.000192235688661832,0.000202059730775945,0.000231192203440587,0.000264632417521499,0.000308651795166636,0.000320765656757216,0.000332263959789932,0.000355373646002324,0.000388790360021518,0.000438942774285792,0.000431345525411072,0.000411040306145537,0.000433483983512062,0.000493104001455643,0.000512489726826249,0.000521712126149519,0.000515239828737162,0.000557293654449175,0.000551790091509577,0.000604870525556315,0.000662422359663096,0.000700591056924,0.000684564507059567,0.000697595508079618,0.0013537797989463,0.00246974885812326,0.00241080704376437,0.00257401918068172,0.00279361106544111,0.00316431948260743,0.00353010859017417,0.0038877502655162,0.004439183219275,0.00522025021173242,0.00614879451359076,0.00709214890233673,0.00690865409538996,0.00714280641404164,0.00725502581834989,0.00867417678035883,0.0131986253813338,0.0127471827260264,0.0120104363243861,0.0114505627128776,0.0104020672811109,0.00933026233591821,0.00920345769027331,0.00936957870284934,0.00927029544947836,0.0104464399400955,0.0118445677491111,0.010779318353722,0.0103189385415304,0.00961658096184637,0.00955364878121164,0.00957891822483809,0.010058707965418,0.0111418594045689,0.0108793610876532,0.0115344572399537,0.0116790550999979,0.0119334444955833,0.0117797057210264,0.0117322207675334,0.0120384510044552,0.0122587147567531,0.0123073795938302,0.0141361498564103,0.0143878518688259,0.0179413781060577,0.0241151328648772,0.0229978768289724,0.0213207184858943,0.0218291621448525,0.0231964475793694,0.0184414504912186,0.0180144311229579,0.0169421165309126,0.0167449885592336,NA,NA,NA,NA,NA,NA
"2013",9.05885239517634e-05,0.000118058218430053,0.000155182015285308,0.000203452339552501,0.000240022635647694,0.00024442752692449,0.000278477717471799,0.000344622603664404,0.000395274714431661,0.000413890909655614,0.000430208509682926,0.000462874864647933,0.000517811971002354,0.000577443668575126,0.000588041676933408,0.000560657953556389,0.000578153975250528,0.000669360778838177,0.000699244838335036,0.000714877257356503,0.000694037497316481,0.00074434110811512,0.000737499247536697,0.000813801299500194,0.000895363400721518,0.000950175712962393,0.000926151743628545,0.000957427968970122,0.00113273756141949,0.00154027855490857,0.00187504164141745,0.0020172424351033,0.00216825755628992,0.00246452195422754,0.00276290481948204,0.00304282665605605,0.0034797596488628,0.00406454814741568,0.00481592050137739,0.00545095227849438,0.00536222418814344,0.00558327075542754,0.00566003127687458,0.00540993792349082,0.00742352145572941,0.0116577005384866,0.0110308399837763,0.0106331303485034,0.00986846505081869,0.00895120982675209,0.00880849406103837,0.00869167390384677,0.00865880144180898,0.00865224916923514,0.00851146744470148,0.00981382045542817,0.00953511022771508,0.00865532105598744,0.00872201667184989,0.00876935941477812,0.00909253737802378,0.0101231500801303,0.0100262752201237,0.0101011932674947,0.00942734959565216,0.00954938542876226,0.0099375946427121,0.00965074631391141,0.00972514247006811,0.00995683625096704,0.0100049555836305,0.0114636159862258,0.0113237622537224,0.0121554239030659,0.0164283966307119,0.0224698540904032,0.0212006951856398,0.0221146861430057,0.0237220248704008,0.0261527536876249,0.0325031405614641,0.0309977592194122,0.0304968589558298,0.0301749786644692,NA,NA,NA,NA,NA
"2014",9.85743456197309e-05,0.000127959002198029,0.000167333063936313,0.000220204418244046,0.000291368319599056,0.00033905614627335,0.000363329710060563,0.000469845800802477,0.00053762989309447,0.000588490062826302,0.000580070280532837,0.000636564017082995,0.000751942710867532,0.00083053235202581,0.000841661263939874,0.000823549198983005,0.000843018680385147,0.000984309590129215,0.0010483247338283,0.00105846933541537,0.00103260828607652,0.0011062561028718,0.00106730070552097,0.00118842156755938,0.00133384714290028,0.00141563502461219,0.00137812478975139,0.00144853427634773,0.00173663539908431,0.00193962873793146,0.00247247941950842,0.00363152049041425,0.0039354255596978,0.00449896301409906,0.00503357537781051,0.00551133261547785,0.00625395614571918,0.00719209388477855,0.00874116018369741,0.00999162210756861,0.00987876110687492,0.0102539924471433,0.0102618210461373,0.0097949109192976,0.0100104351685645,0.0107516433061217,0.0119530901729642,0.0113293270934741,0.0107553517110622,0.00950390402001794,0.00940910246412133,0.00936468402674971,0.00936869328453441,0.0093353899111229,0.00823542450713041,0.00827626514180516,0.00874851776425831,0.0079989398886967,0.00812621648053392,0.00825523290700242,0.00844415662861658,0.0096578635403457,0.00930632753148171,0.00907019222306517,0.00862324805236467,0.00949000558442836,0.0106850756075487,0.010229543858609,0.010378800518286,0.0103443514641349,0.0101380116779328,0.0117501447593571,0.0116813307336665,0.0122531997273215,0.0132746370780212,0.0146389268251015,0.0176419712315272,0.0188681376265263,0.0203267966175837,0.0190059793609868,0.0210323336132338,0.023184815813702,0.0233272963348434,0.0230662527202629,0.0226096436728618,NA,NA,NA,NA
"2015",7.96237431234397e-05,0.000102387296265868,0.000131356029946633,0.000172563360392415,0.000226919843085835,0.00029843580978711,0.000374285372908347,0.000434237220518798,0.000518222914456404,0.000572435848899076,0.000561195578612682,0.000644693228044841,0.000737210993506094,0.000816715773785275,0.000824320272144549,0.000819732059323235,0.000845774991955507,0.000982179416780543,0.00103978809243152,0.00106448676297384,0.00105035315552682,0.00112881944112368,0.00111446173212922,0.00123939047072116,0.00137865407103432,0.00145650216586723,0.00143313847212972,0.00149725535791399,0.00180429974949897,0.00206133111998299,0.00198596343781148,0.00258460653791256,0.00347571340022623,0.00398294238551629,0.00444139793451631,0.00490095099906314,0.00557744648914956,0.0064027082085104,0.00777262478706225,0.00892359308291369,0.00894263469720476,0.00919052655723676,0.00920227587851785,0.00869810879739788,0.00907284624455388,0.00881190340020512,0.00903069592932224,0.0103541010382269,0.00973674436465258,0.00857636474982097,0.00849079967492976,0.00830889179820512,0.00835011979155632,0.0082527693562263,0.00730512312297805,0.00684922814440659,0.00740553204483187,0.00880651550975766,0.00877203104231487,0.00876110169359038,0.00912085953226343,0.0104449298914635,0.0101958893018154,0.00997459212424504,0.00947884689921629,0.00990849214548655,0.0101492075129124,0.0102493348783813,0.0101834785746869,0.0102599618091269,0.0104040721881868,0.0119341094561444,0.0117594065818086,0.0120730211045843,0.0129054395768071,0.0123294284622259,0.0132869444097126,0.0162288613910205,0.0181297412755033,0.0171487732975839,0.0162799130930078,0.0189182180437224,0.0267515344121374,0.0268063330940854,0.0262271801574353,0.0259773351046284,NA,NA,NA
"2016",5.97188053307458e-05,7.66122586036767e-05,9.86445158904642e-05,0.000127323376251412,0.000166638148189584,0.000220055530558282,0.000289621932929303,0.00036981256009835,0.000441956936058734,0.00047156589119214,0.000457800643494186,0.000530352717037539,0.000630395828645954,0.000706573740507704,0.000716892229703667,0.00072037295252075,0.000752577583160088,0.000875630062290287,0.000942267097553086,0.00098129481208279,0.000971783679170661,0.00102751284292799,0.00101811138756416,0.00114117394864723,0.00125658380459657,0.00133122683397751,0.00130679960250845,0.00137103696987878,0.00163144151412097,0.00187643488690633,0.00186208783224866,0.0019510399907847,0.00272489561915887,0.00378109466779244,0.00422959579634725,0.00468516437834172,0.00530476765932221,0.0062843593322911,0.00753207562723318,0.00852050342197818,0.00841353417205502,0.00867306424188985,0.00881587397764038,0.00838471848674489,0.00847033303563496,0.0082524719452867,0.00792621610374255,0.00879594968413202,0.010594434370006,0.00929141996278353,0.00901380169333333,0.00880425870135456,0.00899029753470836,0.00910128651094824,0.00825746643149296,0.0074689771942481,0.00721863596569523,0.00814138132812525,0.0116444625811423,0.0116058912550801,0.0122961968248835,0.0138971916042688,0.0137091215491977,0.0136065852243233,0.0129009475953946,0.013206837358733,0.013135687581971,0.0118435643598604,0.0102910150808366,0.00973021938476953,0.00957676975021537,0.0110701560798606,0.0113927423528892,0.0113085410848654,0.0116265007956484,0.0116034975813847,0.0114133274082844,0.0135993322988905,0.017198250036502,0.0167222579200306,0.0159801265683951,0.0149824752474456,0.0166988989028987,0.0174630561767831,0.0172260410949804,0.0171085130167845,0.0156809639687749,NA,NA
