"","param","mle","prof_min","prof_max"
"1","H1m","0.541329127147623","0.321329127147623","0.703329127147623"
"2","H3m","0.413382157038886","0.222382157038886","0.561382157038886"
"3",NA,NA,NA,NA
"4","A10.14","1.77395595621113","1.50195595621113","2.09495595621113"
"5","A15.19","1.30350318761714","1.08650318761714","1.56050318761714"
"6","A30.39","1.10834230124685","0.940342301246851","1.30534230124685"
"7","A40.49","0.902967273190527","0.756967273190527","1.07496727319053"
"8","A50.64","0.926317707590379","0.759317707590379","1.13331770759038"
"9","A65.100","1.49101539547796","1.14301539547796","1.94301539547796"
"10",NA,NA,NA,NA
"11",NA,NA,NA,NA
"12",NA,NA,NA,NA
"13",NA,NA,NA,NA
"14",NA,NA,NA,NA
"15",NA,NA,NA,NA
"16",NA,NA,NA,NA
"17",NA,NA,NA,NA
"18",NA,NA,NA,NA
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,NA,NA
"23",NA,NA,NA,NA
"24","VE_2013.2017_h1","0.5","0","0.99"
"25","VE_2008.2012_h1","0.5","0","0.99"
"26","VE_2003.2007_h1","0.999","0.696","0.999"
"27","VE_1998.2002_h1","0.926472291494573","0.800472291494573","0.970472291494573"
"28","VE_1988.1997_h1","0.884091906542744","0.745091906542744","0.919091906542744"
"29","VE_1978.1987_h1","0.537419817434355","0.264419817434355","0.746419817434355"
"30","VE_1968.1977_h1","0.13626445686951","0","0.40726445686951"
"31","VE_1953.1967_h1","0.193060479507589","0","0.400060479507589"
"32","VE_1917.1952_h1","0.524402068343286","0.243402068343286","0.707402068343286"
"33","VE_2013.2017_h3","0.5","0","0.99"
"34","VE_2008.2012_h3","0.5","0","0.99"
"35","VE_2003.2007_h3","0.066433014216582","0","0.407433014216582"
"36","VE_1998.2002_h3","0.288019378538117","0.0560193785381166","0.474019378538117"
"37","VE_1988.1997_h3","0.54233459075642","0.37933459075642","0.67333459075642"
"38","VE_1978.1987_h3","0.162733797963684","0","0.343733797963684"
"39","VE_1968.1977_h3","0.246824678362755","0.0168246783627549","0.431824678362755"
"40","VE_1953.1967_h3","0.438373496461519","0.322373496461519","0.537373496461519"
"41","VE_1917.1952_h3","0.450908825499041","0.328908825499041","0.552908825499041"
