"","age_group","vac_status","season","Prediction","ci_high","ci_low","Observed"
"1","10-14","unvaccinated",2008,52.9953537023362,66,40,43
"2","10-14","unvaccinated",2009,0,0,0,NA
"3","10-14","unvaccinated",2009.5,0,0,0,NA
"4","10-14","unvaccinated",2010,0,0,0,0
"5","10-14","unvaccinated",2011,6.38110098375449,11,2,8
"6","10-14","unvaccinated",2012,5.81834956601356,11,2,17
"7","10-14","unvaccinated",2013,29.4823480116074,40,20,17
"8","10-14","unvaccinated",2014,0,0,0,NA
"9","10-14","unvaccinated",2015,20.8592962592768,29,13,21
"10","10-14","unvaccinated",2016,0,0,0,NA
"11","10-14","unvaccinated",2017,20.2345751508337,29,12,30
"12","10-14","unvaccinated",2018,30.6962127925298,42,21,41
"13","10-14","vaccinated",2008,5.20946318803756,10,1,9
"14","10-14","vaccinated",2009,0,0,0,NA
"15","10-14","vaccinated",2009.5,0,0,0,NA
"16","10-14","vaccinated",2010,0,0,0,0
"17","10-14","vaccinated",2011,3.48114339141964,7,0,1
"18","10-14","vaccinated",2012,6.49829228248066,12,2,8
"19","10-14","vaccinated",2013,13.3759851827942,21,7,10
"20","10-14","vaccinated",2014,0,0,0,NA
"21","10-14","vaccinated",2015,14.4602771540517,22,8,22
"22","10-14","vaccinated",2016,0,0,0,NA
"23","10-14","vaccinated",2017,9.43571243844156,16,4,11
"24","10-14","vaccinated",2018,13.9903241718292,21,7,16
"25","15-19","unvaccinated",2008,35.294220570365,47,25,46
"26","15-19","unvaccinated",2009,0,0,0,NA
"27","15-19","unvaccinated",2009.5,0,0,0,NA
"28","15-19","unvaccinated",2010,0,0,0,NA
"29","15-19","unvaccinated",2011,4.21454364156215,8,1,3
"30","15-19","unvaccinated",2012,8.08339442552835,14,3,5
"31","15-19","unvaccinated",2013,22.870162264822,32,14,21
"32","15-19","unvaccinated",2014,0,0,0,NA
"33","15-19","unvaccinated",2015,14.2715364626532,22,7,18
"34","15-19","unvaccinated",2016,0,0,0,NA
"35","15-19","unvaccinated",2017,19.3345791210472,28,12,17
"36","15-19","unvaccinated",2018,20.729521988112,30,12,20
"37","15-19","vaccinated",2008,3.93058992981151,8,1,3
"38","15-19","vaccinated",2009,0,0,0,NA
"39","15-19","vaccinated",2009.5,0,0,0,NA
"40","15-19","vaccinated",2010,0,0,0,NA
"41","15-19","vaccinated",2011,0.719743401405296,3,0,0
"42","15-19","vaccinated",2012,1.82085681987967,5,0,0
"43","15-19","vaccinated",2013,2.80621102933096,6,0,7
"44","15-19","vaccinated",2014,0,0,0,NA
"45","15-19","vaccinated",2015,6.92783834382979,13,2,7
"46","15-19","vaccinated",2016,0,0,0,NA
"47","15-19","vaccinated",2017,5.67867895657455,11,2,5
"48","15-19","vaccinated",2018,12.3239785685448,19,6,14
"49","20-29","unvaccinated",2008,52.31482831971,66,40,75
"50","20-29","unvaccinated",2009,0,0,0,NA
"51","20-29","unvaccinated",2009.5,0,0,0,NA
"52","20-29","unvaccinated",2010,0,0,0,NA
"53","20-29","unvaccinated",2011,5.6576015355286,10,2,2
"54","20-29","unvaccinated",2012,10.5019875171266,17,5,5
