"","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"2008",0.00796389669746421,0.00786057781675604,0.00859734811418787,0.0112562255617335,0.0104938534875407,0.0106367562753059,0.0108947623842612,0.0120392295153009,0.0128036759139446,0.0128491779304326,0.0131987769211956,0.0139786581763392,0.0136182301417913,0.0154574373511001,0.0120144897230703,0.0121338162731492,0.0128380177381948,0.0117552860216603,0.0123814933819904,0.0111483261194327,0.00999017191417522,0.00933163578824984,0.00795591652659485,0.00629350531163096,0.0117100911901055,0.0120451248752517,0.0116062204313991,0.0125579160157624,0.0120077863708409,0.0112568179286882,0.010962522957944,0.0116842227386461,0.0129381900665791,0.0142531687835516,0.0125775261021794,0.0127369078165961,0.0129302465710917,0.0130178373015079,0.0136631603602118,0.014212320364582,0.0139209927925782,0.0161599885284049,0.0158511739681239,0.0155674630829319,0.018183279860576,0.0187352427268391,0.0193792893892438,0.0177218309679643,0.0182215611125852,0.0299756082718316,0.0289378261053877,0.0281040453820917,0.0279109859384167,0.0261565813437587,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009",0.00509408316035155,0.00503729147727347,0.00562495622137068,0.00729330824503632,0.00670966278512146,0.00685018968894198,0.00701278360776283,0.0077825013761681,0.00825968095304646,0.00827800687841311,0.00848736717501502,0.00905170648593428,0.00873825893920468,0.00983403490554836,0.00989319340575095,0.0154344085312764,0.0162407362787371,0.0150197683845512,0.0152124675933761,0.0139531002649806,0.0127535030591493,0.0117984201906411,0.0102222136304319,0.0077993047097032,0.00735864370560477,0.0107627127902995,0.0103723983862612,0.0113765158095077,0.0107186914164192,0.0100548092538326,0.0097660217204993,0.0103204730669432,0.0114071340128188,0.0124186559108056,0.0118663990475003,0.0124018647771638,0.0127139820937865,0.0128960193767542,0.0129713251433313,0.0130748095453463,0.0125427846668476,0.0143759307282889,0.0137875450682078,0.0134899911409916,0.0128883755347746,0.0222877189610505,0.0240406036917319,0.0228269200493373,0.0228520380357442,0.0232755094046819,0.0332099660729225,0.0309265848266136,0.0318220358869391,0.0305100375959624,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009.5",NA,0.011321411762312,0.0119544865832936,0.0151266147046121,0.0155491966262538,0.0152810527960605,0.015547410874919,0.0168168763259123,0.0181864684174235,0.0185789252493654,0.0188343068659108,0.0199414825225821,0.0197437081196804,0.0212519921590446,0.0215099008099122,0.021458435073575,0.0224771381813661,0.021622053732139,0.0212525839570493,0.0201465888681819,0.0183128260909294,0.0167968327734562,0.0148241644442729,0.01158033454152,0.0099680927493861,0.0120174530523224,0.0126639711925044,0.0134027955945347,0.013375255137577,0.0125910486589252,0.0120694098975302,0.0123925501711916,0.0134001126090791,0.0147007145166475,0.0144240037614494,0.015197273470108,0.0163641245264082,0.0166671648600615,0.0168137749750571,0.0168762804316247,0.0163507918473735,0.0181310175944875,0.0178593348613063,0.0173324484420076,0.0160711576601099,0.0180877794359078,0.0208661388919587,0.0205051159883773,0.0201940828400612,0.0200771677929408,0.0326016876712667,0.0376646032872256,0.0373604736648083,0.0376341850414715,0.0382251978965179,NA,NA,NA,NA,NA,NA,NA,NA
"2010",NA,0.00873751721333029,0.00992426491908843,0.0126813371136687,0.0117267832515877,0.0122153680927537,0.0122129007592888,0.0137787201167404,0.0145073483978214,0.0147483561230916,0.0153087617444315,0.0158961222197812,0.0155698395218693,0.0171903581664831,0.0165943748872518,0.0170716655837388,0.020364722457949,0.0185365159872571,0.0186862566265945,0.0173857604852177,0.0158446434522442,0.0146212695932942,0.0126313256355106,0.00969294747640072,0.00874097115568417,0.00906052073463833,0.0111102495093503,0.0123514330224941,0.0115945931686506,0.0110409679937297,0.0110462980622641,0.0114191551848095,0.0125895043563873,0.0138836001500081,0.0128871132309564,0.0136926087188896,0.0144550295293251,0.0149088194471209,0.0147300336752393,0.0147078038692163,0.0142383795632864,0.0171221854740557,0.0154051768893944,0.0146517101483543,0.013467521688203,0.0147848880849945,0.0164046712487903,0.0162501190706517,0.0167053825082328,0.0160306564338373,0.0167960274302469,0.027430231349962,0.0275472504557845,0.0262953677109785,0.0286138621615718,NA,NA,NA,NA,NA,NA,NA,NA
"2011",NA,NA,NA,0.00712416935907581,0.00666242780619515,0.00695755723466666,0.00680100024629632,0.0075479954798273,0.00808042950022897,0.00833610048380425,0.00848038963668616,0.00903460331375472,0.00884782528092708,0.00970120560878733,0.00934953056065717,0.00950703280948417,0.00990148568699367,0.0157070445413532,0.0157600433650264,0.0149153416036197,0.0136144537564471,0.0122871251266056,0.0105958707880678,0.00825734993693466,0.00722072746929173,0.00748424631339854,0.00731369099516803,0.0107720444296865,0.010189070841725,0.00948853690191188,0.0101233075071151,0.0102379517214051,0.0112254390029169,0.0119361392453274,0.0119507108375263,0.0121698301458373,0.0119021768366339,0.0116162826149986,0.0116793679929245,0.0119925551181821,0.0104012671019771,0.0127082925344897,0.0119613207045101,0.0110469812189404,0.00970905735667167,0.0100983999719456,0.0111463844764482,0.0158083176188682,0.0170924102871194,0.0168990724650735,0.0158133392671899,0.0157272696820567,0.0248344384797991,0.0235740327933304,0.0251885909440114,0.0266682528816577,0.0251159160337937,NA,NA,NA,NA,NA,NA
"2012",NA,NA,NA,0.0056949235291608,0.00546036188994662,0.00568797004552763,0.00597101825213266,0.00648284696028853,0.00679772939016991,0.00694255826033219,0.0071907591209129,0.00748683653302938,0.00760304875077268,0.00797156352172102,0.00772518584387802,0.00793514462089297,0.00798565511154522,0.00938664344634987,0.0139090043286816,0.0130966304347705,0.0118688693551864,0.0107204014255088,0.00897489272091884,0.00709286163524569,0.00635198189085004,0.00656770104428588,0.00663390034465761,0.00769432997541046,0.0090788734052106,0.00873548647283759,0.0090144250493365,0.00938996734812659,0.0101360053776868,0.0107826835710962,0.0111655992343925,0.0109611285050985,0.0108916460960323,0.0117092507168921,0.0121143753253887,0.012163159095073,0.0117082771965981,0.013286187067863,0.0125941276399727,0.0113306192656668,0.0106869203173823,0.0109452059298574,0.0114303276559168,0.0140258114915516,0.0185826105230907,0.0182421206495042,0.0180336594257119,0.0176660159681169,0.0170246680706774,0.0142486523624023,0.0148085289884908,0.0153935655159937,0.0152971735389224,NA,NA,NA,NA,NA,NA
"2013",NA,NA,NA,NA,0.00444960452980657,0.00467041141009016,0.00485562173044157,0.00529017034609815,0.00557433740241786,0.00569311434455853,0.00590571438482057,0.00610760335041418,0.00623919595307247,0.00641932799501317,0.00628220312952867,0.00649869530564138,0.00652742571090406,0.00615847132262419,0.00826510617752965,0.0125490188520095,0.0114211717274823,0.0104303015493422,0.00892094202042393,0.00712952934569756,0.0063695884257356,0.00638334314819677,0.00649209070785682,0.00667824129316902,0.00683785008429983,0.00833268952774704,0.00872730082935321,0.0088547783840591,0.00969539555487297,0.0103425885802502,0.0105748863095993,0.0104343129772916,0.0105167174125922,0.0107504398392908,0.0102602342158143,0.0101977794357772,0.0103487688792222,0.0114506266450593,0.0106595957772631,0.00964218674644304,0.0091021806595934,0.00929937407089626,0.00942518299661903,0.00993857968003869,0.013228481969794,0.0186725689289581,0.0187860799767427,0.0187485720013008,0.0182667495648718,0.0212154712434549,0.0279807690195603,0.0294884072816697,0.0291643071969321,0.027706140950711,NA,NA,NA,NA,NA
"2014",NA,NA,NA,NA,NA,0.00812483276600055,0.00851637091745327,0.00933207621019544,0.00981370034665979,0.00996456179387005,0.0102566824899502,0.0104434210574169,0.0109432742455247,0.0113705657620638,0.0111840313997262,0.011533453417517,0.0114360600998493,0.0107748198206387,0.0108116736013408,0.0112783591184017,0.0119594483797227,0.0107391204222072,0.00939538512102834,0.00731492721531143,0.00657486324964547,0.00664609721827044,0.00678788660880963,0.00696296580758942,0.00639452752383685,0.00679291812813968,0.00773779404051477,0.00790779249115283,0.00872901476414619,0.00940846601840126,0.00949018551581182,0.00961959512810387,0.0094329224658496,0.00932818410375182,0.00907528935749357,0.0098073767722731,0.0107525150187085,0.0117286690016384,0.0109929613242439,0.00968005067618781,0.00891251324592789,0.00921057444674803,0.00939503770053867,0.00968065108207669,0.0103121441242731,0.0117244043998375,0.0151040714708604,0.0154543729456855,0.01512040810038,0.0149167186108193,0.0175273026300711,0.0212921453948093,0.0215298799144401,0.0204343221842299,0.0206465620208369,NA,NA,NA,NA
"2015",NA,NA,NA,NA,NA,NA,0.00778154779447725,0.00854730187931831,0.00895849524510965,0.00916729290851144,0.00946338823143502,0.00961856568988519,0.0100671159918306,0.0105061838757837,0.0104741924752558,0.0106946341575925,0.0106097807044539,0.00989905023941656,0.0101377759212753,0.00959946175063988,0.00942690200290939,0.0101539768387615,0.00879959965848318,0.00682920880263521,0.00613827452523459,0.00610064650405236,0.00625903633112216,0.00636825925645774,0.00586825887112617,0.0058170970080045,0.00677868266956857,0.00900712886803549,0.00974847131985249,0.0103301782357419,0.0106050801070898,0.0107631917477261,0.0106918528373049,0.0106129434049387,0.0103206097243087,0.0106009277609173,0.0105813971860553,0.0121576610677778,0.0111590198228533,0.00993306412265748,0.00946269700263412,0.00967830332195647,0.00978496229009366,0.00986826447490406,0.0103722552676922,0.0102000167375495,0.0117405652134774,0.0137532827295317,0.013953910204631,0.0139269586453906,0.0140633185123319,0.0180259316046683,0.0255582752508859,0.024584974786349,0.0247993893493678,0.0252876309003553,NA,NA,NA
"2016",NA,NA,NA,NA,NA,NA,NA,0.0080238407772973,0.00843633815709889,0.00866613225522423,0.0089005602515258,0.00933570988137665,0.00964698878056826,0.00991996697899323,0.00974480728362298,0.00998016757192072,0.010051161776564,0.00943619505526522,0.00935921346953129,0.00888998321021427,0.00821273840234267,0.0086014946877783,0.00946818299993924,0.00731625703140563,0.00644384996252927,0.00639241924298069,0.00666390068697758,0.00694485977109574,0.00655946145323671,0.00627285746750537,0.00653531424015773,0.00823690742360692,0.0127966205522546,0.013532157186446,0.0141380112787537,0.0141612577354295,0.0142159749174657,0.0143162378092918,0.0138902612759454,0.0139724913827809,0.0135520203522166,0.0139122984779096,0.0111513017878456,0.00931529539098733,0.00861322889042953,0.008877613052729,0.00937418895058236,0.00914030603273294,0.00924004851596369,0.00949222197615494,0.00995538474261172,0.0113683988840222,0.0130880519526157,0.0134269529880538,0.0136472409681747,0.014135905375124,0.0158082755012143,0.0158285723564099,0.0160953403674119,0.016451111862722,0.0173130284985926,NA,NA
