"","age_group","vac_status","season","Prediction","ci_high","ci_low","Observed"
"1","10-14","unvaccinated",2008,0,0,0,NA
"2","10-14","unvaccinated",2009,18.4265830457305,26,11,15
"3","10-14","unvaccinated",2009.5,56.1500770430283,69,43,87
"4","10-14","unvaccinated",2010,2.19446002358878,5,0,0
"5","10-14","unvaccinated",2011,0,0,0,NA
"6","10-14","unvaccinated",2012,0,0,0,NA
"7","10-14","unvaccinated",2013,0,0,0,NA
"8","10-14","unvaccinated",2014,22.3844807347496,32,14,9
"9","10-14","unvaccinated",2015,0,0,0,NA
"10","10-14","unvaccinated",2016,7.75608804259845,13,3,3
"11","10-14","unvaccinated",2017,0,0,0,NA
"12","10-14","unvaccinated",2018,0,0,0,NA
"13","10-14","vaccinated",2008,0,0,0,NA
"14","10-14","vaccinated",2009,0.610373018103766,2,0,2
"15","10-14","vaccinated",2009.5,0,0,0,0
"16","10-14","vaccinated",2010,0.0570667422540591,1,0,0
"17","10-14","vaccinated",2011,0,0,0,NA
"18","10-14","vaccinated",2012,0,0,0,NA
"19","10-14","vaccinated",2013,0,0,0,NA
"20","10-14","vaccinated",2014,1.75502286627292,5,0,3
"21","10-14","vaccinated",2015,0,0,0,NA
"22","10-14","vaccinated",2016,0.909954694798276,3,0,2
"23","10-14","vaccinated",2017,0,0,0,NA
"24","10-14","vaccinated",2018,0,0,0,NA
"25","15-19","unvaccinated",2008,0,0,0,NA
"26","15-19","unvaccinated",2009,16.4523998347949,24,9,13
"27","15-19","unvaccinated",2009.5,34.2090531540966,45,24,45
"28","15-19","unvaccinated",2010,1.59932585403406,4,0,2
"29","15-19","unvaccinated",2011,0,0,0,NA
"30","15-19","unvaccinated",2012,0,0,0,NA
"31","15-19","unvaccinated",2013,0,0,0,NA
"32","15-19","unvaccinated",2014,21.4128132973898,30,13,11
"33","15-19","unvaccinated",2015,0,0,0,NA
"34","15-19","unvaccinated",2016,8.63435009790857,14,4,3
"35","15-19","unvaccinated",2017,0,0,0,NA
"36","15-19","unvaccinated",2018,0,0,0,NA
"37","15-19","vaccinated",2008,0,0,0,NA
"38","15-19","vaccinated",2009,0.430527882096709,2,0,1
"39","15-19","vaccinated",2009.5,0,0,0,0
"40","15-19","vaccinated",2010,0.0810279942572033,1,0,0
"41","15-19","vaccinated",2011,0,0,0,NA
"42","15-19","vaccinated",2012,0,0,0,NA
"43","15-19","vaccinated",2013,0,0,0,NA
"44","15-19","vaccinated",2014,1.47281381885602,4,0,1
"45","15-19","vaccinated",2015,0,0,0,NA
"46","15-19","vaccinated",2016,0.824201691705198,3,0,0
"47","15-19","vaccinated",2017,0,0,0,NA
"48","15-19","vaccinated",2018,0,0,0,NA
"49","20-29","unvaccinated",2008,0,0,0,NA
"50","20-29","unvaccinated",2009,14.769382999248,22,8,12
"51","20-29","unvaccinated",2009.5,43.6260430628935,56,33,47
"52","20-29","unvaccinated",2010,2.36210408568529,5,0,5
"53","20-29","unvaccinated",2011,0,0,0,NA
"54","20-29","unvaccinated",2012,0,0,0,NA
"55","20-29","unvaccinated",2013,0,0,0,NA
"56","20-29","unvaccinated",2014,25.6358800066708,35,17,30
"57","20-29","unvaccinated",2015,0,0,0,NA
"58","20-29","unvaccinated",2016,11.7322199134459,18,6,7
"59","20-29","unvaccinated",2017,0,0,0,NA
"60","20-29","unvaccinated",2018,0,0,0,NA
"61","20-29","vaccinated",2008,0,0,0,NA
"62","20-29","vaccinated",2009,1.15138360699976,4,0,1
"63","20-29","vaccinated",2009.5,0,0,0,0
"64","20-29","vaccinated",2010,0.0852746674668089,1,0,0
"65","20-29","vaccinated",2011,0,0,0,NA
"66","20-29","vaccinated",2012,0,0,0,NA
"67","20-29","vaccinated",2013,0,0,0,NA
"68","20-29","vaccinated",2014,2.95346542751237,7,0,4
"69","20-29","vaccinated",2015,0,0,0,NA
"70","20-29","vaccinated",2016,1.67066326505329,5,0,1
"71","20-29","vaccinated",2017,0,0,0,NA
"72","20-29","vaccinated",2018,0,0,0,NA
"73","30-39","unvaccinated",2008,0,0,0,NA
"74","30-39","unvaccinated",2009,14.1608344786474,21,8,17
"75","30-39","unvaccinated",2009.5,38.5492739341463,50,28,24
"76","30-39","unvaccinated",2010,2.09798778574012,5,0,1
"77","30-39","unvaccinated",2011,0,0,0,NA
"78","30-39","unvaccinated",2012,0,0,0,NA
"79","30-39","unvaccinated",2013,0,0,0,NA
"80","30-39","unvaccinated",2014,19.8486461768657,28,12,34
"81","30-39","unvaccinated",2015,0,0,0,NA
"82","30-39","unvaccinated",2016,13.5577344296839,20,7,14
"83","30-39","unvaccinated",2017,0,0,0,NA
"84","30-39","unvaccinated",2018,0,0,0,NA
"85","30-39","vaccinated",2008,0,0,0,NA
"86","30-39","vaccinated",2009,7.11217191136492,13,3,10
"87","30-39","vaccinated",2009.5,0,0,0,0
"88","30-39","vaccinated",2010,0.605144866276049,2,0,1
"89","30-39","vaccinated",2011,0,0,0,NA
"90","30-39","vaccinated",2012,0,0,0,NA
"91","30-39","vaccinated",2013,0,0,0,NA
"92","30-39","vaccinated",2014,20.9613638113431,30,13,16
"93","30-39","vaccinated",2015,0,0,0,NA
"94","30-39","vaccinated",2016,7.04145239208791,12,3,9
"95","30-39","vaccinated",2017,0,0,0,NA
"96","30-39","vaccinated",2018,0,0,0,NA
"97","40-49","unvaccinated",2008,0,0,0,NA
"98","40-49","unvaccinated",2009,14.436789821673,22,8,20
"99","40-49","unvaccinated",2009.5,46.4671657020531,59,35,26
"100","40-49","unvaccinated",2010,2.4007956324755,5,0,1
"101","40-49","unvaccinated",2011,0,0,0,NA
"102","40-49","unvaccinated",2012,0,0,0,NA
"103","40-49","unvaccinated",2013,0,0,0,NA
"104","40-49","unvaccinated",2014,22.0973603733479,31,14,27
"105","40-49","unvaccinated",2015,0,0,0,NA
"106","40-49","unvaccinated",2016,9.22012443984705,15,4,12
"107","40-49","unvaccinated",2017,0,0,0,NA
"108","40-49","unvaccinated",2018,0,0,0,NA
"109","40-49","vaccinated",2008,0,0,0,NA
"110","40-49","vaccinated",2009,7.29685854165562,13,3,9
"111","40-49","vaccinated",2009.5,0,0,0,0
"112","40-49","vaccinated",2010,0.754268916243239,3,0,2
"113","40-49","vaccinated",2011,0,0,0,NA
"114","40-49","vaccinated",2012,0,0,0,NA
"115","40-49","vaccinated",2013,0,0,0,NA
"116","40-49","vaccinated",2014,19.2692115567618,28,12,15
"117","40-49","vaccinated",2015,0,0,0,NA
"118","40-49","vaccinated",2016,9.02465282325926,15,4,10
"119","40-49","vaccinated",2017,0,0,0,NA
"120","40-49","vaccinated",2018,0,0,0,NA
"121","50-64","unvaccinated",2008,0,0,0,NA
"122","50-64","unvaccinated",2009,7.82589248895396,14,3,8
"123","50-64","unvaccinated",2009.5,39.9983871037822,52,29,30
"124","50-64","unvaccinated",2010,2.06877181833436,5,0,2
"125","50-64","unvaccinated",2011,0,0,0,NA
"126","50-64","unvaccinated",2012,0,0,0,NA
