Season,Year,Week,Count,PMF_A_Mesa
2008,2008,4,25,0.04132231404958678
2008,2008,5,53,0.08760330578512397
2008,2008,6,118,0.19504132231404958
2008,2008,7,100,0.1652892561983471
2008,2008,8,82,0.13553719008264462
2008,2008,9,86,0.14214876033057852
2008,2008,10,62,0.1024793388429752
2008,2008,11,39,0.06446280991735537
2008,2008,12,20,0.03305785123966942
2008,2008,13,20,0.03305785123966942
2009,2009,3,17,0.08018867924528301
2009,2009,4,15,0.07075471698113207
2009,2009,5,19,0.08962264150943396
2009,2009,6,29,0.13679245283018868
2009,2009,7,20,0.09433962264150944
2009,2009,8,37,0.17452830188679244
2009,2009,9,25,0.1179245283018868
2009,2009,10,15,0.07075471698113207
2009,2009,11,21,0.09905660377358491
2009,2009,12,8,0.03773584905660377
2009,2009,13,5,0.02358490566037736
2009,2009,14,1,0.0047169811320754715
2009Pan,2009,21,1,0.001869158878504673
2009Pan,2009,22,1,0.001869158878504673
2009Pan,2009,23,1,0.001869158878504673
2009Pan,2009,24,2,0.003738317757009346
2009Pan,2009,25,2,0.003738317757009346
2009Pan,2009,32,1,0.001869158878504673
2009Pan,2009,38,1,0.001869158878504673
2009Pan,2009,39,3,0.005607476635514018
2009Pan,2009,40,15,0.028037383177570093
2009Pan,2009,41,63,0.11775700934579439
2009Pan,2009,42,177,0.33084112149532713
2009Pan,2009,43,160,0.29906542056074764
2009Pan,2009,44,108,0.20186915887850468
2010,2009,48,7,0.30434782608695654
2010,2009,49,2,0.08695652173913043
2010,2010,1,1,0.043478260869565216
2010,2010,2,4,0.17391304347826086
2010,2010,4,1,0.043478260869565216
2010,2010,7,2,0.08695652173913043
2010,2010,8,3,0.13043478260869565
2010,2010,9,1,0.043478260869565216
2010,2010,10,1,0.043478260869565216
2010,2010,11,1,0.043478260869565216
2011,2011,3,2,0.010752688172043012
2011,2011,4,4,0.021505376344086023
2011,2011,5,3,0.016129032258064516
2011,2011,6,15,0.08064516129032258
2011,2011,7,29,0.15591397849462366
2011,2011,8,18,0.0967741935483871
2011,2011,9,16,0.08602150537634409
2011,2011,10,30,0.16129032258064516
2011,2011,11,14,0.07526881720430108
2011,2011,12,18,0.0967741935483871
2011,2011,13,12,0.06451612903225806
2011,2011,14,25,0.13440860215053763
2012,2012,3,1,0.006024096385542169
2012,2012,5,2,0.012048192771084338
2012,2012,6,2,0.012048192771084338
2012,2012,7,7,0.04216867469879518
2012,2012,8,15,0.09036144578313253
2012,2012,9,43,0.25903614457831325
2012,2012,10,41,0.2469879518072289
2012,2012,11,30,0.18072289156626506
2012,2012,12,19,0.1144578313253012
2012,2012,13,6,0.03614457831325301
2013,2012,51,20,0.05181347150259067
2013,2012,52,34,0.08808290155440414
2013,2013,1,39,0.10103626943005181
2013,2013,2,66,0.17098445595854922
2013,2013,3,63,0.16321243523316062
2013,2013,4,55,0.14248704663212436
2013,2013,5,49,0.12694300518134716
2013,2013,6,30,0.07772020725388601
2013,2013,7,12,0.031088082901554404
2013,2013,8,5,0.012953367875647668
2013,2013,9,6,0.015544041450777202
2013,2013,10,7,0.018134715025906734
2014,2013,52,18,0.05202312138728324
2014,2014,1,37,0.1069364161849711
2014,2014,2,59,0.17052023121387283
2014,2014,3,66,0.1907514450867052
2014,2014,4,49,0.1416184971098266
2014,2014,5,32,0.09248554913294797
2014,2014,6,30,0.08670520231213873
2014,2014,7,20,0.057803468208092484
2014,2014,8,21,0.06069364161849711
2014,2014,9,9,0.02601156069364162
2014,2014,10,2,0.005780346820809248
2014,2014,11,3,0.008670520231213872
2015,2014,50,13,0.038348082595870206
2015,2014,51,40,0.11799410029498525
2015,2014,52,47,0.13864306784660768
2015,2014,53,53,0.15634218289085547
2015,2015,1,31,0.09144542772861357
2015,2015,2,18,0.05309734513274336
2015,2015,3,23,0.06784660766961652
2015,2015,4,31,0.09144542772861357
2015,2015,5,27,0.07964601769911504
2015,2015,6,15,0.04424778761061947
2015,2015,7,21,0.061946902654867256
2015,2015,8,7,0.02064896755162242
2015,2015,9,5,0.014749262536873156
2015,2015,10,4,0.011799410029498525
2015,2015,11,2,0.0058997050147492625
2015,2015,12,2,0.0058997050147492625
2016,2016,3,6,0.0379746835443038
2016,2016,4,8,0.05063291139240506
2016,2016,5,5,0.03164556962025317
2016,2016,6,13,0.08227848101265822
2016,2016,7,9,0.056962025316455694
2016,2016,8,18,0.11392405063291139
2016,2016,9,25,0.15822784810126583
2016,2016,10,23,0.14556962025316456
2016,2016,11,20,0.12658227848101267
2016,2016,12,10,0.06329113924050633
2016,2016,13,12,0.0759493670886076
2016,2016,14,9,0.056962025316455694
2017,2017,2,3,0.01060070671378092
2017,2017,3,5,0.0176678445229682
2017,2017,4,7,0.024734982332155476
2017,2017,5,23,0.0812720848056537
2017,2017,6,29,0.10247349823321555
2017,2017,7,53,0.1872791519434629
2017,2017,8,35,0.12367491166077739
2017,2017,9,32,0.11307420494699646
2017,2017,10,24,0.08480565371024736
2017,2017,11,34,0.12014134275618374
2017,2017,12,21,0.07420494699646643
2017,2017,13,5,0.0176678445229682
2017,2017,14,8,0.028268551236749116
2017,2017,15,4,0.014134275618374558
2018,2017,52,8,0.01694915254237288
2018,2018,1,23,0.048728813559322036
2018,2018,2,41,0.08686440677966102
2018,2018,3,74,0.15677966101694915
2018,2018,4,81,0.1716101694915254
2018,2018,5,71,0.1504237288135593
2018,2018,6,53,0.11228813559322035
2018,2018,7,35,0.07415254237288135
2018,2018,8,19,0.04025423728813559
2018,2018,9,25,0.05296610169491525
2018,2018,10,23,0.048728813559322036
2018,2018,11,8,0.01694915254237288
2018,2018,12,4,0.00847457627118644
2018,2018,13,6,0.012711864406779662
2018,2018,14,1,0.00211864406779661
