Vaccine type,Year,Week,Count,PMF
2008,2007,35,1,0.00021910604732690623
2008,2007,37,2,0.00043821209465381246
2008,2007,39,1,0.00021910604732690623
2008,2007,40,23,0.005039439088518843
2008,2007,41,170,0.03724802804557406
2008,2007,42,283,0.06200701139351446
2008,2007,43,547,0.1198510078878177
2008,2007,44,638,0.13978965819456618
2008,2007,45,807,0.17681858019281332
2008,2007,46,781,0.17112182296231376
2008,2007,47,261,0.05718667835232252
2008,2007,48,293,0.06419807186678353
2008,2007,49,189,0.04141104294478527
2008,2007,50,138,0.030236634531113058
2008,2007,51,126,0.027607361963190184
2008,2007,52,45,0.00985977212971078
2008,2008,1,50,0.010955302366345312
2008,2008,2,39,0.008545135845749343
2008,2008,3,27,0.005915863277826468
2008,2008,4,34,0.007449605609114811
2008,2008,5,25,0.005477651183172656
2008,2008,6,16,0.0035056967572304996
2008,2008,7,13,0.0028483786152497807
2008,2008,8,16,0.0035056967572304996
2008,2008,9,14,0.003067484662576687
2008,2008,10,14,0.003067484662576687
2008,2008,11,4,0.0008764241893076249
2008,2008,12,3,0.0006573181419807187
2008,2008,13,4,0.0008764241893076249
2009,2008,27,1,0.00019160758766047136
2009,2008,36,5,0.0009580379383023567
2009,2008,37,73,0.013987353899214409
2009,2008,38,110,0.021076834642651848
2009,2008,39,126,0.02414255604521939
2009,2008,40,256,0.04905154244108067
2009,2008,41,380,0.07281088331097911
2009,2008,42,404,0.07740946541483043
2009,2008,43,566,0.10844989461582678
2009,2008,44,843,0.16152519639777735
2009,2008,45,793,0.1519448170147538
2009,2008,46,502,0.09618700900555661
2009,2008,47,295,0.05652423835983905
2009,2008,48,143,0.027399885035447404
2009,2008,49,162,0.03104042920099636
2009,2008,50,96,0.01839432841540525
2009,2008,51,95,0.018202720827744778
2009,2008,52,39,0.007472695918758382
2009,2008,53,42,0.008047518681739797
2009,2009,1,60,0.011496455259628282
2009,2009,2,50,0.009580379383023568
2009,2009,3,49,0.009388771795363097
2009,2009,4,33,0.006323050392795555
2009,2009,5,23,0.004406974516190841
2009,2009,6,27,0.005173404866832727
2009,2009,7,21,0.004023759340869898
2009,2009,8,6,0.0011496455259628281
2009,2009,9,5,0.0009580379383023567
2009,2009,10,4,0.0007664303506418854
2009,2009,11,2,0.0003832151753209427
2009,2009,12,5,0.0009580379383023567
2009,2009,13,1,0.00019160758766047136
2009,2009,15,1,0.00019160758766047136
2009,2009,17,1,0.00019160758766047136
2009Pan,2009,39,4,0.0010787486515641855
2009Pan,2009,40,7,0.0018878101402373248
2009Pan,2009,41,169,0.04557713052858684
2009Pan,2009,42,431,0.11623516720604099
2009Pan,2009,43,347,0.0935814455231931
2009Pan,2009,44,288,0.07766990291262135
2009Pan,2009,45,371,0.1000539374325782
2009Pan,2009,46,203,0.054746494066882416
2009Pan,2009,47,141,0.03802588996763754
2009Pan,2009,48,343,0.09250269687162892
2009Pan,2009,49,235,0.0633764832793959
2009Pan,2009,50,395,0.10652642934196332
2009Pan,2009,51,112,0.030204962243797196
2009Pan,2009,52,95,0.025620280474649405
2009Pan,2010,1,95,0.025620280474649405
2009Pan,2010,2,104,0.028047464940668825
2009Pan,2010,3,107,0.02885652642934196
2009Pan,2010,4,49,0.013214670981661273
2009Pan,2010,5,43,0.011596548004314994
2009Pan,2010,6,45,0.012135922330097087
2009Pan,2010,7,25,0.00674217907227616
2009Pan,2010,8,25,0.00674217907227616
2009Pan,2010,9,18,0.0048543689320388345
2009Pan,2010,10,15,0.0040453074433656954
2009Pan,2010,11,4,0.0010787486515641855
2009Pan,2010,12,9,0.0024271844660194173
2009Pan,2010,13,5,0.001348435814455232
2009Pan,2010,14,6,0.0016181229773462784
2009Pan,2010,15,2,0.0005393743257820927
2009Pan,2010,16,2,0.0005393743257820927
2009Pan,2010,17,7,0.0018878101402373248
2009Pan,2010,18,1,0.00026968716289104636
2009Pan,2010,19,1,0.00026968716289104636
2009Pan,2010,20,1,0.00026968716289104636
2009Pan,2010,21,1,0.00026968716289104636
2009Pan,2010,24,1,0.00026968716289104636
2009Pan,2010,25,1,0.00026968716289104636
2010,2009,34,24,0.004464285714285714
2010,2009,35,258,0.04799107142857143
2010,2009,36,262,0.04873511904761905
2010,2009,37,886,0.16480654761904762
2010,2009,38,963,0.17912946428571427
2010,2009,39,620,0.11532738095238096
2010,2009,40,374,0.06956845238095238
2010,2009,41,263,0.04892113095238095
2010,2009,42,88,0.01636904761904762
2010,2009,43,100,0.018601190476190476
2010,2009,44,109,0.02027529761904762
2010,2009,45,43,0.007998511904761904
2010,2009,46,65,0.01209077380952381
2010,2009,47,34,0.006324404761904762
2010,2009,48,166,0.030877976190476192
2010,2009,49,360,0.06696428571428571
2010,2009,50,173,0.03218005952380952
2010,2009,51,66,0.012276785714285714
2010,2009,52,70,0.013020833333333334
2010,2010,1,78,0.014508928571428572
2010,2010,2,73,0.013578869047619048
2010,2010,3,76,0.014136904761904762
2010,2010,4,43,0.007998511904761904
2010,2010,5,29,0.005394345238095238
2010,2010,6,39,0.007254464285714286
2010,2010,7,35,0.006510416666666667
2010,2010,8,22,0.004092261904761905
2010,2010,9,13,0.002418154761904762
2010,2010,10,16,0.002976190476190476
2010,2010,11,6,0.0011160714285714285
2010,2010,12,9,0.0016741071428571428
2010,2010,13,2,0.0003720238095238095
2010,2010,14,1,0.00018601190476190475
2010,2010,15,1,0.00018601190476190475
2010,2010,16,2,0.0003720238095238095
2010,2010,17,5,0.0009300595238095238
2010,2010,19,1,0.00018601190476190475
2010,2010,21,1,0.00018601190476190475
2011,2010,32,2,0.00034042553191489364
2011,2010,33,2,0.00034042553191489364
2011,2010,34,9,0.0015319148936170212
2011,2010,35,49,0.008340425531914894
2011,2010,36,127,0.021617021276595743
2011,2010,37,237,0.04034042553191489
2011,2010,38,232,0.03948936170212766
2011,2010,39,472,0.0803404255319149
2011,2010,40,868,0.14774468085106382
2011,2010,41,719,0.12238297872340426
2011,2010,42,643,0.1094468085106383
2011,2010,43,556,0.09463829787234043
2011,2010,44,476,0.08102127659574468
2011,2010,45,270,0.04595744680851064
2011,2010,46,217,0.036936170212765955
2011,2010,47,128,0.021787234042553193
2011,2010,48,137,0.023319148936170212
2011,2010,49,130,0.022127659574468085
2011,2010,50,119,0.02025531914893617
2011,2010,51,43,0.007319148936170213
2011,2010,52,57,0.009702127659574468
2011,2011,1,62,0.010553191489361702
2011,2011,2,53,0.009021276595744681
2011,2011,3,43,0.007319148936170213
2011,2011,4,43,0.007319148936170213
2011,2011,5,30,0.005106382978723404
2011,2011,6,34,0.0057872340425531915
2011,2011,7,30,0.005106382978723404
2011,2011,8,24,0.004085106382978723
2011,2011,9,28,0.004765957446808511
2011,2011,10,10,0.001702127659574468
2011,2011,11,6,0.0010212765957446808
2011,2011,12,9,0.0015319148936170212
2011,2011,13,3,0.0005106382978723404
2011,2011,14,3,0.0005106382978723404
2011,2011,15,1,0.00017021276595744682
2011,2011,16,1,0.00017021276595744682
2011,2011,19,1,0.00017021276595744682
2011,2011,20,1,0.00017021276595744682
2012,2011,33,35,0.005816852251952801
2012,2011,34,90,0.014957620076450058
2012,2011,35,126,0.020940668107030082
2012,2011,36,177,0.029416652817018447
2012,2011,37,285,0.047365796908758515
2012,2011,38,352,0.05850091407678245
2012,2011,39,431,0.07163038058833306
2012,2011,40,606,0.10071464184809706
2012,2011,41,633,0.10520192787103208
2012,2011,42,547,0.09090909090909091
2012,2011,43,645,0.10719627721455875
2012,2011,44,419,0.06963603124480638
2012,2011,45,304,0.050523516702675755
2012,2011,46,240,0.03988698687053349
2012,2011,47,152,0.025261758351337878
2012,2011,48,144,0.023932192122320093
2012,2011,49,130,0.021605451221538972
2012,2011,50,138,0.022935017450556757
2012,2011,51,89,0.014791424297822835
2012,2011,52,42,0.006980222702343361
2012,2012,1,51,0.008475984709988366
2012,2012,2,71,0.011799900282532824
2012,2012,3,49,0.00814359315273392
2012,2012,4,31,0.005152069137443909
2012,2012,5,33,0.005484460694698354
2012,2012,6,30,0.0049858733588166865
2012,2012,7,35,0.005816852251952801
2012,2012,8,29,0.004819677580189463
2012,2012,9,29,0.004819677580189463
2012,2012,10,15,0.0024929366794083432
2012,2012,11,29,0.004819677580189463
2012,2012,12,11,0.0018281535648994515
2012,2012,13,9,0.0014957620076450058
2012,2012,14,3,0.0004985873358816686
2012,2012,15,5,0.0008309788931361143
2012,2012,17,1,0.00016619577862722287
2012,2012,18,1,0.00016619577862722287
2013,2012,33,17,0.002608162012887389
2013,2012,34,80,0.0122737035900583
2013,2012,35,121,0.01856397667996318
2013,2012,36,159,0.02439398588524087
2013,2012,37,305,0.046793494937097266
2013,2012,38,434,0.06658484197606628
2013,2012,39,574,0.08806382325866831
2013,2012,40,599,0.09189935563056152
2013,2012,41,566,0.08683645289966248
2013,2012,42,531,0.08146670757901196
2013,2012,43,440,0.06750536974532065
2013,2012,44,484,0.07425590671985272
2013,2012,45,394,0.06044799018103713
2013,2012,46,242,0.03712795335992636
2013,2012,47,168,0.02577477753912243
2013,2012,48,215,0.03298557839828168
2013,2012,49,205,0.03145136544952439
2013,2012,50,175,0.02684872660325253
2013,2012,51,98,0.015035286897821418
2013,2012,52,67,0.010279226756673827
2013,2013,1,75,0.011506597115679657
2013,2013,2,193,0.02961030991101565
2013,2013,3,143,0.021939245167229213
2013,2013,4,76,0.011660018410555384
2013,2013,5,48,0.00736422215403498
2013,2013,6,32,0.00490948143602332
2013,2013,7,20,0.003068425897514575
2013,2013,8,13,0.0019944768333844736
2013,2013,9,16,0.00245474071801166
2013,2013,10,11,0.0016876342436330162
2013,2013,11,5,0.0007671064743786437
2013,2013,12,7,0.0010739490641301012
2013,2013,13,3,0.00046026388462718626
2013,2013,14,1,0.00015342129487572875
2013,2013,16,1,0.00015342129487572875
2014,2013,30,1,0.00015137753557372085
2014,2013,33,1,0.00015137753557372085
2014,2013,35,1,0.00015137753557372085
2014,2013,36,60,0.009082652134423252
2014,2013,37,242,0.036633363608840445
2014,2013,38,307,0.046472903421132306
2014,2013,39,411,0.062216167120799276
2014,2013,40,714,0.1080835603996367
2014,2013,41,567,0.08583106267029973
2014,2013,42,746,0.11292764153799577
2014,2013,43,736,0.11141386618225856
2014,2013,44,582,0.08810172570390554
2014,2013,45,473,0.07160157432636996
2014,2013,46,318,0.048138056312443236
2014,2013,47,249,0.037693006357856496
2014,2013,48,165,0.024977293369663943
2014,2013,49,135,0.020435967302452316
2014,2013,50,143,0.021646987587042085
2014,2013,51,117,0.017711171662125342
2014,2013,52,56,0.008477141992128368
2014,2014,1,78,0.011807447774750226
2014,2014,2,98,0.014834998486224644
2014,2014,3,80,0.012110202845897668
2014,2014,4,64,0.009688162276718135
2014,2014,5,51,0.007720254314259764
2014,2014,6,53,0.008023009385407205
2014,2014,7,38,0.005752346351801393
2014,2014,8,40,0.006055101422948834
2014,2014,9,26,0.003935815924916743
2014,2014,10,15,0.002270663033605813
2014,2014,11,11,0.0016651528913109294
2014,2014,12,11,0.0016651528913109294
2014,2014,13,10,0.0015137753557372085
2014,2014,14,2,0.0003027550711474417
2014,2014,15,1,0.00015137753557372085
2014,2014,17,2,0.0003027550711474417
2014,2014,19,2,0.0003027550711474417
2015,2014,31,1,0.00016002560409665546
2015,2014,32,1,0.00016002560409665546
2015,2014,33,1,0.00016002560409665546
2015,2014,34,3,0.00048007681228996637
2015,2014,35,7,0.0011201792286765883
2015,2014,36,17,0.002720435269643143
2015,2014,37,197,0.03152504400704113
2015,2014,38,397,0.06353016482637222
2015,2014,39,547,0.08753400544087053
2015,2014,40,760,0.12161945911345816
2015,2014,41,701,0.11217794847175548
2015,2014,42,657,0.10513682189150264
2015,2014,43,782,0.12514002240358457
2015,2014,44,436,0.06977116338614178
2015,2014,45,422,0.0675308049287886
2015,2014,46,244,0.039046247399583935
2015,2014,47,234,0.03744599135861738
2015,2014,48,151,0.024163866218594975
2015,2014,49,145,0.023203712594015043
2015,2014,50,99,0.01584253480556889
2015,2014,51,93,0.014882381180988958
2015,2014,52,32,0.005120819331092975
2015,2014,53,57,0.009121459433509362
2015,2015,1,61,0.009761561849895984
2015,2015,2,28,0.004480716914706353
2015,2015,3,45,0.007201152184349496
2015,2015,4,28,0.004480716914706353
2015,2015,5,24,0.003840614498319731
2015,2015,6,24,0.003840614498319731
2015,2015,7,13,0.002080332853256521
2015,2015,8,12,0.0019203072491598655
2015,2015,9,12,0.0019203072491598655
2015,2015,10,4,0.0006401024163866218
2015,2015,11,2,0.0003200512081933109
2015,2015,12,8,0.0012802048327732437
2015,2015,14,2,0.0003200512081933109
2015,2015,15,1,0.00016002560409665546
2015,2015,19,1,0.00016002560409665546
2016,2015,32,1,0.00016329196603527107
2016,2015,33,2,0.00032658393207054214
2016,2015,34,2,0.00032658393207054214
2016,2015,35,33,0.005388634879163945
2016,2015,36,129,0.02106466361854997
2016,2015,37,276,0.045068582625734814
2016,2015,38,358,0.05845852384062704
2016,2015,39,481,0.07854343566296539
2016,2015,40,688,0.11234487263226649
2016,2015,41,662,0.10809928151534945
2016,2015,42,645,0.10532331809274983
2016,2015,43,597,0.09748530372305683
2016,2015,44,395,0.06450032658393207
2016,2015,45,370,0.060418027433050296
2016,2015,46,273,0.044578706727629
2016,2015,47,160,0.02612671456564337
2016,2015,48,176,0.028739386022207707
2016,2015,49,131,0.02139124755062051
2016,2015,50,123,0.02008491182233834
2016,2015,51,50,0.008164598301763554
2016,2015,52,76,0.012410189418680601
2016,2016,1,66,0.01077726975832789
2016,2016,2,70,0.011430437622468974
2016,2016,3,50,0.008164598301763554
2016,2016,4,49,0.008001306335728282
2016,2016,5,49,0.008001306335728282
2016,2016,6,38,0.0062050947093403004
2016,2016,7,24,0.003919007184846506
2016,2016,8,30,0.004898758981058132
2016,2016,9,22,0.0035924232527759633
2016,2016,10,20,0.0032658393207054214
2016,2016,11,20,0.0032658393207054214
2016,2016,12,15,0.002449379490529066
2016,2016,13,13,0.002122795558458524
2016,2016,14,12,0.001959503592423253
2016,2016,15,9,0.0014696276943174395
2016,2016,16,2,0.00032658393207054214
2016,2016,17,6,0.0009797517962116264
2016,2016,18,1,0.00016329196603527107
2017,2016,33,3,0.0005087332541970493
