Season,Birth_year,Vaccination_status,Season_section,Count
2008,1922.0,1.0,End,1
2008,1922.0,1.0,Start,1
2008,1923.0,1.0,End,1
2008,1924.0,1.0,Median,1
2008,1925.0,1.0,End,1
2008,1927.0,1.0,Start,1
2008,1928.0,1.0,End,1
2008,1929.0,1.0,End,1
2008,1930.0,0.0,End,1
2008,1930.0,1.0,End,1
2008,1930.0,1.0,Start,1
2008,1931.0,0.0,End,1
2008,1931.0,0.0,Start,1
2008,1931.0,1.0,End,1
2008,1932.0,0.0,End,1
2008,1932.0,1.0,Start,1
2008,1933.0,0.0,End,1
2008,1933.0,1.0,End,2
2008,1934.0,1.0,End,1
2008,1936.0,1.0,End,1
2008,1936.0,1.0,Median,1
2008,1936.0,1.0,Start,2
2008,1937.0,1.0,End,1
2008,1937.0,1.0,Median,1
2008,1937.0,1.0,Start,1
2008,1938.0,0.0,End,2
2008,1938.0,1.0,Start,2
2008,1939.0,1.0,End,1
2008,1940.0,1.0,End,1
2008,1941.0,0.0,End,1
2008,1941.0,1.0,End,1
2008,1941.0,1.0,Median,1
2008,1942.0,0.0,End,1
2008,1942.0,0.0,Median,1
2008,1942.0,1.0,Median,1
2008,1943.0,0.0,Median,1
2008,1943.0,1.0,End,3
2008,1944.0,1.0,Start,1
2008,1945.0,1.0,Start,1
2008,1946.0,0.0,End,1
2008,1946.0,1.0,End,2
2008,1946.0,1.0,Start,1
2008,1947.0,0.0,End,2
2008,1947.0,1.0,End,1
2008,1948.0,0.0,End,1
2008,1948.0,1.0,Start,2
2008,1949.0,0.0,End,2
2008,1949.0,0.0,Median,5
2008,1949.0,0.0,Start,1
2008,1950.0,0.0,Start,1
2008,1950.0,1.0,End,1
2008,1950.0,1.0,Start,1
2008,1951.0,0.0,End,1
2008,1951.0,0.0,Median,1
2008,1951.0,0.0,Start,1
2008,1951.0,1.0,End,1
2008,1952.0,0.0,End,2
2008,1952.0,0.0,Start,2
2008,1952.0,1.0,End,1
2008,1952.0,1.0,Start,1
2008,1953.0,0.0,End,2
2008,1953.0,0.0,Median,1
2008,1953.0,0.0,Start,5
2008,1953.0,1.0,End,1
2008,1953.0,1.0,Start,1
2008,1954.0,0.0,End,2
2008,1954.0,0.0,Start,6
2008,1954.0,1.0,End,1
2008,1955.0,0.0,Start,1
2008,1955.0,1.0,End,1
2008,1955.0,1.0,Median,1
2008,1956.0,0.0,End,1
2008,1956.0,0.0,Median,1
2008,1956.0,0.0,Start,1
2008,1956.0,1.0,Start,1
2008,1957.0,0.0,End,3
2008,1957.0,0.0,Start,5
2008,1957.0,1.0,End,2
2008,1957.0,1.0,Start,1
2008,1958.0,0.0,End,1
2008,1958.0,0.0,Start,2
2008,1958.0,1.0,End,1
2008,1959.0,0.0,End,7
2008,1959.0,0.0,Median,1
2008,1959.0,0.0,Start,1
2008,1959.0,1.0,Start,1
2008,1960.0,0.0,Median,3
2008,1960.0,0.0,Start,3
2008,1960.0,1.0,End,3
2008,1961.0,0.0,End,3
2008,1961.0,0.0,Start,1
2008,1961.0,1.0,End,1
2008,1961.0,1.0,Start,1
2008,1962.0,0.0,End,2
2008,1962.0,0.0,Start,1
2008,1962.0,1.0,End,2
2008,1962.0,1.0,Start,2
2008,1963.0,0.0,End,2
2008,1963.0,0.0,Median,2
2008,1963.0,0.0,Start,2
2008,1963.0,1.0,Start,2
2008,1964.0,0.0,End,3
2008,1964.0,0.0,Start,1
2008,1965.0,0.0,Start,3
2008,1965.0,1.0,Start,2
2008,1966.0,0.0,End,1
2008,1967.0,0.0,End,1
2008,1967.0,0.0,Median,1
2008,1967.0,0.0,Start,3
2008,1967.0,1.0,End,1
2008,1968.0,0.0,End,2
2008,1968.0,0.0,Median,1
2008,1968.0,0.0,Start,3
2008,1969.0,0.0,Median,2
2008,1969.0,1.0,Median,1
2008,1970.0,0.0,End,5
2008,1970.0,1.0,Start,1
2008,1971.0,0.0,Start,2
2008,1971.0,1.0,End,2
2008,1972.0,0.0,End,3
2008,1972.0,0.0,Median,2
2008,1972.0,0.0,Start,4
2008,1973.0,0.0,End,1
2008,1973.0,0.0,Start,1
2008,1973.0,1.0,Start,1
2008,1974.0,0.0,End,2
2008,1974.0,0.0,Median,2
2008,1974.0,0.0,Start,1
2008,1974.0,1.0,End,1
2008,1975.0,0.0,End,3
2008,1975.0,0.0,Median,2
2008,1975.0,0.0,Start,1
2008,1975.0,1.0,Start,2
2008,1976.0,0.0,End,3
2008,1976.0,0.0,Median,1
2008,1976.0,0.0,Start,5
2008,1976.0,1.0,End,2
2008,1976.0,1.0,Start,1
2008,1977.0,0.0,End,4
2008,1977.0,0.0,Median,1
2008,1977.0,0.0,Start,4
2008,1977.0,1.0,End,1
2008,1977.0,1.0,Median,1
2008,1978.0,0.0,End,1
2008,1978.0,0.0,Median,2
2008,1978.0,0.0,Start,4
2008,1978.0,1.0,Median,1
2008,1978.0,1.0,Start,2
2008,1979.0,0.0,End,5
2008,1979.0,0.0,Median,2
2008,1979.0,0.0,Start,3
2008,1979.0,1.0,End,3
2008,1979.0,1.0,Median,1
2008,1979.0,1.0,Start,1
2008,1980.0,0.0,End,1
2008,1980.0,0.0,Start,2
2008,1980.0,1.0,End,2
2008,1980.0,1.0,Median,1
2008,1980.0,1.0,Start,1
2008,1981.0,0.0,End,2
2008,1981.0,0.0,Median,2
2008,1981.0,0.0,Start,4
2008,1981.0,1.0,End,1
2008,1982.0,0.0,End,6
2008,1982.0,0.0,Start,7
2008,1982.0,1.0,End,2
