Age,Year,MESA_pop,pop_frac
0,2008,548,0.011023495
1,2008,686,0.013799485
2,2008,688,0.013839717
3,2008,686,0.013799485
4,2008,681,0.013698906
5,2008,671,0.013497747
6,2008,692,0.01392018
7,2008,667,0.013417284
8,2008,630,0.012672996
9,2008,638,0.012833923
10,2008,602,0.012109752
11,2008,664,0.013356936
12,2008,637,0.012813808
13,2008,642,0.012914387
14,2008,689,0.013859833
15,2008,728,0.014644351
16,2008,702,0.014121339
17,2008,761,0.015308175
18,2008,746,0.015006437
19,2008,683,0.013739137
20,2008,743,0.014946089
21,2008,714,0.014362729
22,2008,703,0.014141455
23,2008,642,0.012914387
24,2008,648,0.013035082
25,2008,618,0.012431606
26,2008,595,0.011968941
27,2008,595,0.011968941
28,2008,591,0.011888478
29,2008,553,0.011124075
30,2008,572,0.011506276
31,2008,533,0.010721757
32,2008,500,0.010057934
33,2008,495,0.009957354
34,2008,528,0.010621178
35,2008,580,0.011667203
36,2008,620,0.012471838
37,2008,582,0.011707435
38,2008,611,0.012290795
39,2008,600,0.01206952
40,2008,609,0.012250563
41,2008,676,0.013598326
42,2008,729,0.014664467
43,2008,738,0.01484551
44,2008,791,0.015911651
45,2008,856,0.017219182
46,2008,797,0.016032346
47,2008,859,0.01727953
48,2008,804,0.016173157
49,2008,790,0.015891535
50,2008,850,0.017098487
51,2008,746,0.015006437
52,2008,764,0.015368523
53,2008,720,0.014483425
54,2008,700,0.014081107
55,2008,697,0.01402076
56,2008,655,0.013175893
57,2008,593,0.011928709
58,2008,579,0.011647087
59,2008,571,0.01148616
60,2008,613,0.012331027
61,2008,468,0.009414226
62,2008,428,0.008609591
63,2008,434,0.008730286
64,2008,457,0.009192951
65,2008,417,0.008388317
66,2008,370,0.007442871
67,2008,363,0.00730206
68,2008,365,0.007342292
69,2008,320,0.006437078
70,2008,359,0.007221596
71,2008,352,0.007080785
72,2008,326,0.006557773
73,2008,279,0.005612327
74,2008,301,0.006054876
75,2008,313,0.006296266
76,2008,307,0.006175571
77,2008,288,0.00579337
78,2008,291,0.005853717
79,2008,276,0.005551979
80,2008,254,0.00510943
81,2008,270,0.005431284
82,2008,235,0.004727229
83,2008,205,0.004123753
84,2008,193,0.003882362
85,2008,211,0.004244448
86,2008,172,0.003459929
87,2008,166,0.003339234
88,2008,133,0.00267541
89,2008,114,0.002293209
90,2008,96,0.001931123
91,2008,75,0.00150869
92,2008,59,0.001186836
93,2008,46,0.00092533
94,2008,36,0.000724171
95,2008,28,0.000563244
96,2008,22,0.000442549
97,2008,17,0.00034197
98,2008,13,0.000261506
99,2008,10,0.000201159
100,2008,8,0.000160927
101,2008,6,0.000120695
102,2008,5,0.000100579
103,2008,3,6.03E-05
104,2008,3,6.03E-05
105,2008,2,4.02E-05
106,2008,1,2.01E-05
107,2008,1,2.01E-05
108,2008,1,2.01E-05
0,2009,458,0.009505033
1,2009,661,0.013717962
2,2009,638,0.013240635
3,2009,639,0.013261388
4,2009,639,0.013261388
5,2009,662,0.013738715
6,2009,653,0.013551935
7,2009,662,0.013738715
8,2009,629,0.013053855
9,2009,619,0.012846321
10,2009,631,0.013095362
11,2009,622,0.012908582
12,2009,673,0.013967002
13,2009,613,0.012721801
14,2009,652,0.013531182
15,2009,682,0.014153782
16,2009,709,0.014714123
