Season,Age_group,Vaccination_status,Refused_enrollment,Count
2009pan,0-4,0,0.0,530
2009pan,0-4,0,1.0,85
2009pan,10-14,0,0.0,248
2009pan,10-14,0,1.0,48
2009pan,15-19,0,0.0,166
2009pan,15-19,0,1.0,51
2009pan,20-29,0,0.0,224
2009pan,20-29,0,1.0,31
2009pan,30-39,0,0.0,204
2009pan,30-39,0,1.0,28
2009pan,40-49,0,0.0,186
2009pan,40-49,0,1.0,25
2009pan,5-9,0,0.0,380
2009pan,5-9,0,1.0,47
2009pan,50-64,0,0.0,227
2009pan,50-64,0,1.0,29
2009pan,65+,0,0.0,115
2009pan,65+,0,1.0,19
2010,0-4,0,0.0,311
2010,0-4,0,1.0,111
2010,0-4,1,0.0,399
2010,0-4,1,1.0,125
2010,10-14,0,0.0,161
2010,10-14,0,1.0,58
2010,10-14,1,0.0,68
2010,10-14,1,1.0,31
2010,15-19,0,0.0,114
2010,15-19,0,1.0,79
2010,15-19,1,0.0,42
2010,15-19,1,1.0,20
2010,20-29,0,0.0,136
2010,20-29,0,1.0,44
2010,20-29,1,0.0,52
2010,20-29,1,1.0,28
2010,30-39,0,0.0,125
2010,30-39,0,1.0,49
2010,30-39,1,0.0,83
2010,30-39,1,1.0,30
2010,40-49,0,0.0,113
2010,40-49,0,1.0,38
2010,40-49,1,0.0,92
2010,40-49,1,1.0,38
2010,5-9,0,0.0,188
2010,5-9,0,1.0,90
2010,5-9,1,0.0,142
2010,5-9,1,1.0,49
2010,50-64,0,0.0,121
2010,50-64,0,1.0,53
2010,50-64,1,0.0,151
2010,50-64,1,1.0,41
2010,65+,0,0.0,47
2010,65+,0,1.0,26
2010,65+,1,0.0,139
2010,65+,1,1.0,62
2011,0-4,0,0.0,161
2011,0-4,0,1.0,80
2011,0-4,1,0.0,271
2011,0-4,1,1.0,135
2011,10-14,0,0.0,102
2011,10-14,0,1.0,55
2011,10-14,1,0.0,82
2011,10-14,1,1.0,38
2011,15-19,0,0.0,69
2011,15-19,0,1.0,30
2011,15-19,1,0.0,21
2011,15-19,1,1.0,11
2011,20-29,0,0.0,110
2011,20-29,0,1.0,44
2011,20-29,1,0.0,40
2011,20-29,1,1.0,9
2011,30-39,0,0.0,111
2011,30-39,0,1.0,30
2011,30-39,1,0.0,80
2011,30-39,1,1.0,17
2011,40-49,0,0.0,91
2011,40-49,0,1.0,24
2011,40-49,1,0.0,54
2011,40-49,1,1.0,15
2011,5-9,0,0.0,166
2011,5-9,0,1.0,104
2011,5-9,1,0.0,150
2011,5-9,1,1.0,82
2011,50-64,0,0.0,82
2011,50-64,0,1.0,36
2011,50-64,1,0.0,119
2011,50-64,1,1.0,23
2011,65+,0,0.0,15
2011,65+,0,1.0,7
2011,65+,1,0.0,86
2011,65+,1,1.0,28
2012,0-4,0,0.0,95
2012,0-4,0,1.0,88
2012,0-4,1,0.0,186
2012,0-4,1,1.0,127
2012,10-14,0,0.0,49
2012,10-14,0,1.0,45
2012,10-14,1,0.0,53
2012,10-14,1,1.0,20
2012,15-19,0,0.0,47
2012,15-19,0,1.0,23
2012,15-19,1,0.0,19
2012,15-19,1,1.0,12
2012,20-29,0,0.0,57
2012,20-29,0,1.0,28
2012,20-29,1,0.0,27
2012,20-29,1,1.0,7
2012,30-39,0,0.0,56
2012,30-39,0,1.0,21
2012,30-39,1,0.0,40
2012,30-39,1,1.0,14
2012,40-49,0,0.0,50
2012,40-49,0,1.0,22
2012,40-49,1,0.0,46
2012,40-49,1,1.0,20
2012,5-9,0,0.0,83
2012,5-9,0,1.0,74
2012,5-9,1,0.0,62
2012,5-9,1,1.0,62
2012,50-64,0,0.0,48
2012,50-64,0,1.0,32
2012,50-64,1,0.0,81
2012,50-64,1,1.0,25
2012,65+,0,0.0,12
2012,65+,0,1.0,13
2012,65+,1,0.0,78
2012,65+,1,1.0,38
