Season,Age group,high risk,total
2010,65-100,True,1
2012,65-100,True,1
2016,65-100,True,1
2009,65-100,False,1
2017,65-100,True,1
2015,65-100,True,1
2008,65-100,False,1
2017,65-100,True,1
2013,65-100,True,1
2009,65-100,True,1
2008,65-100,True,1
2009,65-100,True,1
2015,65-100,True,1
2008,65-100,True,1
2011,65-100,True,1
2013,65-100,True,1
2018,65-100,True,1
2009,65-100,True,1
2018,65-100,True,1
2010,65-100,False,1
2013,65-100,True,1
2011,65-100,True,1
2011,50-64,True,1
2017,65-100,True,1
2018,65-100,True,1
2013,65-100,True,1
2010,65-100,True,1
2017,65-100,True,1
2016,65-100,True,1
2016,65-100,True,1
2008,65-100,True,1
2009,65-100,True,1
2008,65-100,False,1
2009Pan,65-100,False,1
2012,65-100,True,1
2015,65-100,True,1
2009,65-100,True,1
2017,65-100,True,1
2008,65-100,True,1
2010,65-100,True,1
2010,65-100,True,1
2010,65-100,True,1
2009,65-100,True,1
2011,65-100,True,1
2018,65-100,True,1
2013,65-100,True,1
2008,65-100,True,1
2014,65-100,True,1
2017,65-100,True,1
2009,65-100,False,1
2017,65-100,True,1
2008,65-100,False,1
2012,65-100,True,1
2018,65-100,True,1
2014,65-100,True,1
2018,65-100,True,1
2010,65-100,True,1
2008,65-100,False,1
2017,65-100,True,1
2015,65-100,True,1
2010,65-100,True,1
2009Pan,65-100,False,1
2010,65-100,True,1
2017,65-100,True,1
2008,65-100,True,1
2009,65-100,True,1
2009,65-100,True,1
2013,65-100,True,1
2016,65-100,True,1
2018,65-100,True,1
2010,65-100,True,1
2009,30-39,False,1
2009Pan,30-39,False,1
2010,30-39,False,1
2008,65-100,True,1
2016,65-100,False,1
2011,65-100,True,1
2018,65-100,True,1
2013,65-100,True,1
2008,65-100,False,1
2010,65-100,False,1
2008,65-100,True,1
2010,65-100,True,1
2018,65-100,True,1
2016,65-100,True,1
2012,65-100,True,1
2018,65-100,True,1
2009Pan,65-100,False,1
2010,65-100,False,1
2008,65-100,True,1
2015,65-100,True,1
2018,65-100,True,1
2009Pan,65-100,False,1
2009Pan,65-100,False,1
2009Pan,65-100,False,1
2010,65-100,False,1
2016,65-100,True,1
2012,65-100,True,1
2015,65-100,True,1
2015,65-100,True,1
2018,65-100,True,1
2008,65-100,False,1
2009,65-100,True,1
2011,65-100,True,1
2013,65-100,True,1
2017,65-100,True,1
2010,65-100,True,1
2008,65-100,True,1
2016,65-100,True,1
2008,65-100,True,1
2010,65-100,True,1
2010,65-100,True,1
2008,65-100,True,1
2009,65-100,True,1
2011,65-100,True,1
2013,65-100,True,1
2010,65-100,True,1
2016,65-100,True,1
2009,65-100,False,1
2008,65-100,False,1
2015,65-100,True,1
2008,65-100,True,1
2016,65-100,True,1
2010,65-100,True,1
2013,65-100,True,1
2010,65-100,True,1
2016,65-100,True,1
2010,65-100,True,1
2018,65-100,True,1
2014,65-100,True,1
2015,65-100,True,1
2017,65-100,True,1
2010,65-100,True,1
2008,65-100,True,1
2010,65-100,True,1
2017,65-100,True,1
2015,65-100,False,1
2008,65-100,True,1
2010,65-100,True,1
2012,65-100,True,1
2013,65-100,True,1
2013,65-100,True,1
2018,65-100,True,1
2010,65-100,True,1
2012,65-100,True,1
2009,65-100,True,1
2015,65-100,True,1
2008,65-100,True,1
2013,65-100,True,1
2015,65-100,True,1
2016,65-100,True,1
2008,65-100,False,1
2015,65-100,True,1
2011,65-100,False,1
2017,65-100,True,1
2009,65-100,True,1
2012,65-100,True,1
2012,65-100,True,1
2016,65-100,True,1
2009,65-100,True,1
2018,65-100,True,1
2012,65-100,True,1
2013,65-100,True,1
2014,65-100,True,1
2015,65-100,True,1
2016,65-100,True,1
2017,65-100,True,1
2013,65-100,False,1
2012,65-100,True,1
2017,65-100,True,1
2009Pan,65-100,False,1
2013,65-100,True,1
2008,65-100,False,1
2015,65-100,True,1
2008,65-100,True,1
2009,65-100,True,1
2011,65-100,True,1
2008,65-100,False,1
2012,65-100,True,1
2009Pan,65-100,False,1
2010,65-100,True,1
2017,65-100,True,1
2009,65-100,True,1
2013,65-100,True,1
2017,65-100,False,1
2013,65-100,True,1
2011,65-100,True,1
2016,65-100,True,1
2015,65-100,True,1
2011,65-100,True,1
2013,65-100,True,1
2012,65-100,True,1
2009,65-100,False,1
2008,65-100,True,1
2018,65-100,True,1
2010,65-100,False,1
2012,65-100,True,1
2012,65-100,True,1
2014,65-100,True,1
2008,65-100,True,1
2011,65-100,True,1
2010,65-100,True,1
2009Pan,65-100,False,1
2010,65-100,True,1
2011,65-100,True,1
2017,65-100,True,1
2010,65-100,True,1
2015,65-100,True,1
2010,65-100,True,1
2011,65-100,True,1
2018,65-100,True,1
2013,65-100,True,1
2018,65-100,True,1
2009Pan,65-100,False,1
2017,65-100,True,1
2018,65-100,True,1
2010,65-100,True,1
2017,65-100,True,1
2016,65-100,True,1
2014,65-100,True,1
2009,65-100,False,1
2011,65-100,True,1
2014,65-100,False,1
2017,65-100,True,1
2009,65-100,True,1
2009Pan,65-100,False,1
2015,65-100,True,1
2018,65-100,True,1
2008,65-100,True,1
2013,65-100,True,1
2018,65-100,True,1
2014,65-100,True,1
