age,count,Coverage,Total
1,192,0.46601941747572817,412.0
2,162,0.41116751269035534,394.0
3,140,0.40114613180515757,349.0
4,146,0.44108761329305135,331.0
5,117,0.32865168539325845,356.0
6,105,0.3431372549019608,306.0
7,101,0.3519163763066202,287.0
8,89,0.3531746031746032,252.0
9,77,0.28413284132841327,271.0
10,73,0.2744360902255639,266.0
11,60,0.28169014084507044,213.0
12,59,0.29064039408866993,203.0
13,50,0.24630541871921183,203.0
14,46,0.2658959537572254,173.0
15,43,0.27564102564102566,156.0
16,39,0.23353293413173654,167.0
17,44,0.2603550295857988,169.0
18,26,0.17687074829931973,147.0
19,19,0.1532258064516129,124.0
20,14,0.11475409836065574,122.0
21,22,0.2018348623853211,109.0
22,28,0.27184466019417475,103.0
23,29,0.24166666666666667,120.0
24,33,0.24812030075187969,133.0
25,21,0.15,140.0
26,22,0.15384615384615385,143.0
27,40,0.28368794326241137,141.0
28,30,0.1986754966887417,151.0
29,30,0.234375,128.0
30,39,0.24074074074074073,162.0
31,33,0.2578125,128.0
32,30,0.2127659574468085,141.0
33,25,0.211864406779661,118.0
34,22,0.17054263565891473,129.0
35,34,0.2556390977443609,133.0
36,30,0.25862068965517243,116.0
37,32,0.2689075630252101,119.0
38,30,0.22556390977443608,133.0
39,21,0.19811320754716982,106.0
40,31,0.2672413793103448,116.0
41,29,0.24369747899159663,119.0
42,19,0.17117117117117117,111.0
43,39,0.30708661417322836,127.0
44,35,0.24647887323943662,142.0
45,29,0.232,125.0
46,35,0.2713178294573643,129.0
47,41,0.25153374233128833,163.0
48,30,0.22556390977443608,133.0
49,39,0.2653061224489796,147.0
50,36,0.2535211267605634,142.0
51,36,0.2535211267605634,142.0
52,44,0.2716049382716049,162.0
53,36,0.26666666666666666,135.0
54,35,0.3153153153153153,111.0
55,40,0.35714285714285715,112.0
56,41,0.3360655737704918,122.0
57,32,0.2644628099173554,121.0
58,37,0.37755102040816324,98.0
59,30,0.30927835051546393,97.0
60,30,0.30303030303030304,99.0
61,29,0.3020833333333333,96.0
62,35,0.35,100.0
63,26,0.35135135135135137,74.0
64,16,0.25,64.0
65,18,0.20930232558139536,86.0
66,21,0.24705882352941178,85.0
67,19,0.2676056338028169,71.0
68,13,0.2708333333333333,48.0
69,21,0.3888888888888889,54.0
70,15,0.2631578947368421,57.0
71,13,0.2708333333333333,48.0
72,21,0.3442622950819672,61.0
73,14,0.2916666666666667,48.0
74,9,0.21428571428571427,42.0
75,17,0.4594594594594595,37.0
76,13,0.2765957446808511,47.0
77,13,0.29545454545454547,44.0
78,10,0.2564102564102564,39.0
79,8,0.2222222222222222,36.0
80,12,0.3,40.0
81,9,0.28125,32.0
82,11,0.39285714285714285,28.0
83,8,0.27586206896551724,29.0
84,5,0.2631578947368421,19.0
85,2,0.16666666666666666,12.0
86,5,0.3125,16.0
87,4,0.23529411764705882,17.0
89,3,0.3333333333333333,9.0
90,2,0.14285714285714285,14.0
