Season,season_float,Age group,total_maari,approached_maari,Fraction approached,Relative fraction
2008,2008.0,0-4,845,562,0.6650887573964497,1.3740295207750828
2008,2008.0,10-14,406,237,0.583743842364532,1.205976289720132
2008,2008.0,15-19,449,223,0.4966592427616927,1.026065248782398
2008,2008.0,20-29,564,273,0.4840425531914894,1.0
2008,2008.0,30-39,611,277,0.4533551554828151,0.9366018596787828
2008,2008.0,40-49,614,230,0.3745928338762215,0.7738840963596664
2008,2008.0,5-9,656,388,0.5914634146341463,1.221924417046368
2008,2008.0,50-64,698,333,0.4770773638968481,0.9856103781605214
2008,2008.0,65-100,646,226,0.3498452012383901,0.7227571190419487
2009,2009.0,0-4,826,723,0.8753026634382567,1.4093320862579872
2009,2009.0,10-14,492,482,0.9796747967479674,1.5773825247277742
2009,2009.0,15-19,393,283,0.7201017811704835,1.1594418570470602
2009,2009.0,20-29,446,277,0.6210762331838565,1.0
2009,2009.0,30-39,478,291,0.6087866108786609,0.9802123770826094
2009,2009.0,40-49,501,248,0.4950099800399202,0.7970196790534454
2009,2009.0,5-9,805,737,0.9155279503105591,1.4740991546516582
2009,2009.0,50-64,659,293,0.4446130500758725,0.7158751636600691
2009,2009.0,65-100,602,193,0.32059800664451826,0.5161975125034481
2009pan,2009.5,0-4,976,537,0.5502049180327869,1.3567553092399405
2009pan,2009.5,10-14,581,324,0.5576592082616179,1.3751369112814895
2009pan,2009.5,15-19,528,218,0.4128787878787879,1.0181215564738293
2009pan,2009.5,20-29,651,264,0.4055299539170507,1.0
2009pan,2009.5,30-39,674,235,0.3486646884272997,0.859775424871864
2009pan,2009.5,40-49,677,212,0.3131462333825701,0.7721901436820195
2009pan,2009.5,5-9,835,453,0.5425149700598803,1.3377925966249322
2009pan,2009.5,50-64,912,259,0.28399122807017546,0.7002965510366826
2009pan,2009.5,65-100,917,138,0.1504907306434024,0.3710964607911173
2010,2010.0,0-4,995,783,0.7869346733668342,1.9259190690293573
2010,2010.0,10-14,636,328,0.5157232704402516,1.2621648460774575
2010,2010.0,15-19,584,270,0.4623287671232877,1.1314888248017303
2010,2010.0,20-29,651,266,0.4086021505376344,1.0
2010,2010.0,30-39,712,285,0.4002808988764045,0.979634831460674
2010,2010.0,40-49,779,282,0.362002567394095,0.8859536517802851
2010,2010.0,5-9,893,574,0.6427771556550952,1.5731125125243115
2010,2010.0,50-64,1176,380,0.3231292517006803,0.7908163265306123
2010,2010.0,65-100,1151,282,0.2450043440486533,0.5996158946453884
2011,2011.0,0-4,861,532,0.6178861788617886,1.563630330180853
2011,2011.0,10-14,454,320,0.7048458149779736,1.7836914501483414
2011,2011.0,15-19,338,152,0.4497041420118344,1.1380268083564788
2011,2011.0,20-29,496,196,0.3951612903225806,1.0
2011,2011.0,30-39,579,244,0.4214162348877375,1.066441084205703
2011,2011.0,40-49,533,182,0.3414634146341464,0.8641114982578398
2011,2011.0,5-9,815,535,0.656441717791411,1.6611994491047952
2011,2011.0,50-64,814,274,0.3366093366093366,0.8518277089705661
2011,2011.0,65-100,679,141,0.20765832106038293,0.5255026900303568
2012,2012.0,0-4,629,381,0.6057233704292527,1.772301713478184
2012,2012.0,10-14,393,188,0.4783715012722646,1.3996795777966262
2012,2012.0,15-19,292,117,0.4006849315068493,1.1723744292237444
2012,2012.0,20-29,316,108,0.34177215189873417,1.0
2012,2012.0,30-39,413,139,0.3365617433414044,0.9847547305174424
2012,2012.0,40-49,406,140,0.3448275862068966,1.0089399744572158
2012,2012.0,5-9,644,347,0.5388198757763976,1.5765470439383484
2012,2012.0,50-64,662,186,0.2809667673716012,0.8220879489761665
2012,2012.0,65-100,665,152,0.22857142857142854,0.6687830687830688
2013,2013.0,0-4,600,333,0.555,1.4484146341463418
2013,2013.0,10-14,376,227,0.6037234042553191,1.575570835495589
2013,2013.0,15-19,322,144,0.4472049689440994,1.1670958945614305
2013,2013.0,20-29,428,164,0.3831775700934579,1.0
2013,2013.0,30-39,495,210,0.42424242424242425,1.107169253510717
2013,2013.0,40-49,435,177,0.4068965517241379,1.061900756938604
2013,2013.0,5-9,682,399,0.5850439882697948,1.5268221157284891
