season_float,H1_MESA,H3_MESA,H1_Natl,H3_Natl
2008,0,1,0.252762579,0.747237421
2009,1,0,0.888932963,0.111067037
2010,1,0,0.967690754,0.032309246
2011,0.44086,0.55914,0.381057194,0.618942806
2012,0.036585,0.963415,0.254360812,0.745639188
2013,0.007937,0.992063,0.057948359,0.942051641
2014,0.916914,0.083086,0.869202877,0.130797123
2015,0,1,0.005091423,0.994908577
2016,1,0,0.779454059,0.220545941
2017,0.007168,0.992832,0.031324358,0.968675642
2018,0.094421,0.905579,0.155367599,0.844632401
2009.5,1,0,0.963853705,0.036146295
