Age,Season,coverage,Vaccinated,Unvaccinated,breakpoint_date
0,2008,0.711678832,390,158,1/1/2008
0,2009,0.707423581,324,134,12/1/2008
0,2010,0.636828645,249,142,12/1/2009
0,2011,0.66185567,321,164,1/1/2011
0,2012,0.787644788,204,55,9/1/2011
0,2013,0.740740741,180,63,9/1/2012
0,2014,0.684981685,187,86,9/1/2013
0,2015,0.716904277,704,278,9/1/2014
0,2016,0.672064777,332,162,9/1/2015
0,2017,0.655241935,325,171,9/1/2016
0,2018,0.665330661,332,167,9/1/2017
1,2008,0.60787172,417,269,1/1/2008
1,2009,0.67322239,445,216,12/1/2008
1,2010,0.579439252,372,270,12/1/2009
1,2011,0.631944444,364,212,1/1/2011
1,2012,0.687943262,388,176,9/1/2011
1,2013,0.696335079,399,174,9/1/2012
1,2014,0.64229249,325,181,9/1/2013
1,2015,0.62298108,1350,817,9/1/2014
1,2016,0.646061815,648,355,9/1/2015
1,2017,0.575435203,595,439,9/1/2016
1,2018,0.589600743,635,442,9/1/2017
2,2008,0.422965116,291,397,1/1/2008
2,2009,0.47492163,303,335,12/1/2008
2,2010,0.458394161,314,371,12/1/2009
2,2011,0.501515152,331,329,1/1/2011
2,2012,0.53057554,295,261,9/1/2011
2,2013,0.496677741,299,303,9/1/2012
2,2014,0.520547945,304,280,9/1/2013
2,2015,0.464004499,825,953,9/1/2014
2,2016,0.448015123,474,584,9/1/2015
2,2017,0.445883441,482,599,9/1/2016
2,2018,0.448868778,496,609,9/1/2017
3,2008,0.389212828,267,419,1/1/2008
3,2009,0.428794992,274,365,12/1/2008
3,2010,0.422839506,274,374,12/1/2009
3,2011,0.474074074,320,355,1/1/2011
3,2012,0.460567823,292,342,9/1/2011
3,2013,0.513986014,294,278,9/1/2012
3,2014,0.502608696,289,286,9/1/2013
3,2015,0.392682927,644,996,9/1/2014
3,2016,0.445770065,411,511,9/1/2015
3,2017,0.39689781,435,661,9/1/2016
3,2018,0.441906653,445,562,9/1/2017
4,2008,0.340675477,232,449,1/1/2008
4,2009,0.428794992,274,365,12/1/2008
4,2010,0.42971246,269,357,12/1/2009
4,2011,0.43431221,281,366,1/1/2011
4,2012,0.5046875,323,317,9/1/2011
4,2013,0.443597561,291,365,9/1/2012
4,2014,0.487588652,275,289,9/1/2013
4,2015,0.427345187,697,934,9/1/2014
4,2016,0.442764579,410,516,9/1/2015
4,2017,0.40625,403,589,9/1/2016
4,2018,0.384763742,399,638,9/1/2017
5,2008,0.259314456,174,497,1/1/2008
5,2009,0.359516616,238,424,12/1/2008
5,2010,0.353211009,231,423,12/1/2009
5,2011,0.431034483,275,363,1/1/2011
5,2012,0.463333333,278,322,9/1/2011
5,2013,0.51138088,337,322,9/1/2012
5,2014,0.434169279,277,361,9/1/2013
5,2015,0.410115783,673,968,9/1/2014
5,2016,0.413390011,389,552,9/1/2015
5,2017,0.396039604,400,610,9/1/2016
5,2018,0.417525773,405,565,9/1/2017
6,2008,0.248554913,172,520,1/1/2008
6,2009,0.307810107,201,452,12/1/2008
6,2010,0.339339339,226,440,12/1/2009
6,2011,0.391304348,261,406,1/1/2011
6,2012,0.410714286,253,363,9/1/2011
6,2013,0.46,299,351,9/1/2012
6,2014,0.436641221,286,369,9/1/2013
6,2015,0.368055556,636,1092,9/1/2014
6,2016,0.415318231,385,542,9/1/2015
6,2017,0.370441459,386,656,9/1/2016
6,2018,0.388270981,384,605,9/1/2017
7,2008,0.212893553,142,525,1/1/2008
7,2009,0.279456193,185,477,12/1/2008
7,2010,0.31825273,204,437,12/1/2009
7,2011,0.376876877,251,415,1/1/2011
7,2012,0.405405405,255,374,9/1/2011
7,2013,0.453100159,285,344,9/1/2012
7,2014,0.4144427,264,373,9/1/2013
7,2015,0.396463206,695,1058,9/1/2014
7,2016,0.377416073,371,612,9/1/2015
7,2017,0.372798434,381,641,9/1/2016
7,2018,0.378167641,388,638,9/1/2017
8,2008,0.222222222,140,490,1/1/2008
8,2009,0.276629571,174,455,12/1/2008
8,2010,0.276661515,179,468,12/1/2009
8,2011,0.372611465,234,394,1/1/2011
8,2012,0.342019544,210,404,9/1/2011
8,2013,0.423861852,270,367,9/1/2012
8,2014,0.409836066,250,360,9/1/2013
8,2015,0.38443804,667,1068,9/1/2014
8,2016,0.390268123,393,614,9/1/2015
8,2017,0.3454039,372,705,9/1/2016
8,2018,0.359762141,363,646,9/1/2017
9,2008,0.18338558,117,521,1/1/2008
9,2009,0.261712439,162,457,12/1/2008
9,2010,0.294209703,188,451,12/1/2009
9,2011,0.358934169,229,409,1/1/2011
9,2012,0.354026846,211,385,9/1/2011
9,2013,0.393468118,253,390,9/1/2012
9,2014,0.4,252,378,9/1/2013
9,2015,0.394306481,651,1000,9/1/2014
9,2016,0.393846154,384,591,9/1/2015
9,2017,0.358736059,386,690,9/1/2016
9,2018,0.351585014,366,675,9/1/2017
10,2008,0.1910299,115,487,1/1/2008
10,2009,0.247226624,156,475,12/1/2008
10,2010,0.26340694,167,467,12/1/2009
10,2011,0.3568,223,402,1/1/2011
10,2012,0.317512275,194,417,9/1/2011
10,2013,0.356564019,220,397,9/1/2012
10,2014,0.359300477,226,403,9/1/2013
10,2015,0.356825397,562,1013,9/1/2014
10,2016,0.385909569,367,584,9/1/2015
10,2017,0.355275895,367,666,9/1/2016
10,2018,0.381541389,401,650,9/1/2017
11,2008,0.195783133,130,534,1/1/2008
11,2009,0.27170418,169,453,12/1/2008
11,2010,0.290611028,195,476,12/1/2009
11,2011,0.384384384,256,410,1/1/2011
11,2012,0.394039735,238,366,9/1/2011
11,2013,0.433224756,266,348,9/1/2012
11,2014,0.41503268,254,358,9/1/2013
11,2015,0.39875,638,962,9/1/2014
11,2016,0.396677051,382,581,9/1/2015
11,2017,0.411143132,428,613,9/1/2016
11,2018,0.374136229,379,634,9/1/2017
12,2008,0.150706436,96,541,1/1/2008
12,2009,0.228826152,154,519,12/1/2008
12,2010,0.226624406,143,488,12/1/2009
12,2011,0.332326284,220,442,1/1/2011
12,2012,0.340909091,210,406,9/1/2011
12,2013,0.333333333,215,430,9/1/2012
12,2014,0.3184,199,426,9/1/2013
12,2015,0.331912302,545,1097,9/1/2014
12,2016,0.349206349,330,615,9/1/2015
12,2017,0.35,371,689,9/1/2016
12,2018,0.364864865,378,658,9/1/2017
13,2008,0.152647975,98,544,1/1/2008
13,2009,0.241435563,148,465,12/1/2008
13,2010,0.222060958,153,536,12/1/2009
13,2011,0.315625,202,438,1/1/2011
13,2012,0.275362319,171,450,9/1/2011
13,2013,0.33903577,218,425,9/1/2012
13,2014,0.334360555,217,432,9/1/2013
13,2015,0.316875,507,1093,9/1/2014
13,2016,0.31407563,299,653,9/1/2015
13,2017,0.325670498,340,704,9/1/2016
13,2018,0.314231137,329,718,9/1/2017
14,2008,0.126269956,87,602,1/1/2008
14,2009,0.210122699,137,515,12/1/2008
14,2010,0.200310559,129,515,12/1/2009
14,2011,0.237410072,165,530,1/1/2011
14,2012,0.267536705,164,449,9/1/2011
14,2013,0.306853583,197,445,9/1/2012
14,2014,0.343402226,216,413,9/1/2013
14,2015,0.296182266,481,1143,9/1/2014
14,2016,0.313016529,303,665,9/1/2015
14,2017,0.30019685,305,711,9/1/2016
14,2018,0.278982092,296,765,9/1/2017
15,2008,0.112637363,82,646,1/1/2008
15,2009,0.18914956,129,553,12/1/2008
15,2010,0.189107413,125,536,12/1/2009
15,2011,0.215625,138,502,1/1/2011
15,2012,0.236280488,155,501,9/1/2011
15,2013,0.294303797,186,446,9/1/2012
15,2014,0.326465927,206,425,9/1/2013
15,2015,0.296044499,479,1139,9/1/2014
15,2016,0.298262548,309,727,9/1/2015
15,2017,0.311233886,338,748,9/1/2016
15,2018,0.283625731,291,735,9/1/2017
16,2008,0.128205128,90,612,1/1/2008
16,2009,0.15796897,112,597,12/1/2008
16,2010,0.200290276,138,551,12/1/2009
16,2011,0.214626391,135,494,1/1/2011
16,2012,0.247524752,150,456,9/1/2011
16,2013,0.292647059,199,481,9/1/2012
16,2014,0.358890701,220,393,9/1/2013
16,2015,0.292475728,482,1166,9/1/2014
16,2016,0.310659898,306,679,9/1/2015
16,2017,0.313104661,356,781,9/1/2016
16,2018,0.323741007,360,752,9/1/2017
17,2008,0.111695138,85,676,1/1/2008
17,2009,0.183118741,128,571,12/1/2008
17,2010,0.175342466,128,602,12/1/2009
17,2011,0.208633094,145,550,1/1/2011
17,2012,0.241653418,152,477,9/1/2011
17,2013,0.308544304,195,437,9/1/2012
17,2014,0.290030211,192,470,9/1/2013
17,2015,0.288920726,605,1489,9/1/2014
